ÖüañLïx (7),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-7.9,0,0,0,0
-6.8,0,0,0,0
-7.6,0,0,0,0
-7,0,0,0,0
-6.2,0,0,0,0
-6.5,0,0,0,0
-6.2,0,0,0,0
-5.8,0.08,0.07,6,-48.5
-4.7,0.39,0.26,13.1,-36.6
-4.1,0.18,0.31,18.4,-23.3
-3.6,0.05,0.26,21.4,-9
-3.7,0.05,0.26,21.7,5.9
-3.9,0.05,0.23,19.3,20.4
-3.6,0.06,0.18,14.4,33.9
-3.7,0.07,0.09,7.6,46.1
-3.8,0.01,0.01,0,0
-3.8,0,0,0,0
-3.8,0,0,0,0
-3.8,0,0,0,0
-3.7,0,0,0,0
-3.8,0,0,0,0
-4,0,0,0,0
-3.9,0,0,0,0
-3.6,0,0,0,0
-3.8,0,0,0,0
-3.5,0,0,0,0
-2.6,0,0,0,0
-2.7,0,0,0,0
-2.6,0,0,0,0
-2.8,0,0,0,0
-3,0,0,0,0
-2.7,0.05,0.06,6,-48.7
-2.1,0.06,0.15,13.2,-36.7
-2.1,0.05,0.22,18.5,-23.4
-2.3,0.24,0.41,21.4,-9.1
-2.3,0.12,0.35,21.8,5.8
-2.4,0.05,0.23,19.4,20.3
-2.3,0.06,0.18,14.5,33.8
-2.5,0.07,0.09,7.7,46.1
-2.7,0.01,0.01,0,0
-3.1,0,0,0,0
-4.5,0,0,0,0
-4.9,0,0,0,0
-3.9,0,0,0,0
-3.3,0,0,0,0
-4.4,0,0,0,0
-6.1,0,0,0,0
-7.3,0,0,0,0
-7.6,0,0,0,0
-7.8,0,0,0,0
-7.1,0,0,0,0
-3,0,0,0,0
-2.5,0,0,0,0
-2.5,0,0,0,0
-2.2,0,0,0,0
-1.8,0.08,0.07,6,-48.8
-1.8,0.05,0.15,13.2,-36.8
-1.7,0.04,0.21,18.5,-23.6
-1.5,0.04,0.25,21.5,-9.2
-1.4,0.05,0.24,21.9,5.7
-1.4,0.05,0.21,19.5,20.2
-1.6,0.06,0.17,14.7,33.8
-1.8,0.07,0.09,7.9,46
-2.1,0.01,0.01,0,0
-2.3,0,0,0,0
-2.5,0,0,0,0
-2.7,0,0,0,0
-2.9,0,0,0,0
-3.2,0,0,0,0
-3,0,0,0,0
-3.1,0,0,0,0
-3.6,0,0,0,0
-4,0,0,0,0
-5.1,0,0,0,0
-5.4,0,0,0,0
-4.3,0,0,0,0
-3.8,0,0,0,0
-3.8,0,0,0,0
-3.7,0,0,0,0
-4.4,0.26,0.1,6,-49
-3.5,1.1,0.28,13.2,-37
-2.9,1.99,0.32,18.6,-23.7
-2.4,1.22,0.47,21.6,-9.3
-2.2,1.5,0.45,22,5.5
-2.7,1.69,0.37,19.6,20.1
-3,1.22,0.31,14.8,33.7
-3.5,0.36,0.15,8,46
-4.1,0.04,0.03,0,0
-5.6,0,0,0,0
-6.8,0,0,0,0
-4.7,0,0,0,0
-5.1,0,0,0,0
-5.7,0,0,0,0
-5.7,0,0,0,0
-7,0,0,0,0
-10.6,0,0,0,0
-12.1,0,0,0,0
-13.5,0,0,0,0
-15.3,0,0,0,0
-16.3,0,0,0,0
-17,0,0,0,0
-16.6,0,0,0,0
-15.1,0,0,0,0
-15.1,1.24,0.12,6,-49.1
-12.6,1.76,0.23,13.3,-37.1
-11.1,2.53,0.24,18.7,-23.9
-8.6,2.74,0.25,21.7,-9.5
-4.7,2.72,0.26,22.1,5.4
-4.6,2.58,0.25,19.7,20.1
-4.5,2.19,0.22,14.9,33.7
-4.7,0.6,0.17,8.2,46
-5.3,0.01,0.02,0,0
-5.7,0,0,0,0
-6.4,0,0,0,0
-6.9,0,0,0,0
-8.1,0,0,0,0
-7.7,0,0,0,0
-8.1,0,0,0,0
-7.2,0,0,0,0
-6.8,0,0,0,0
-8,0,0,0,0
-8.7,0,0,0,0
-9.1,0,0,0,0
-9.5,0,0,0,0
-10.7,0,0,0,0
-10.5,0,0,0,0
-10.1,0,0,0,0
-10.7,0.21,0.1,6.1,-49.3
-9.8,1.03,0.28,13.3,-37.3
-7.4,1.37,0.39,18.7,-24
-7.4,0.07,0.29,21.8,-9.6
-7.5,0.08,0.3,22.2,5.3
-8.6,0.1,0.3,19.9,20
-8.2,0.07,0.18,15.1,33.6
-8.9,0.1,0.12,8.3,46
-8.7,0.01,0.02,0,57.1
-8.7,0,0,0,0
-10,0,0,0,0
-11.2,0,0,0,0
-15.2,0,0,0,0
-16.6,0,0,0,0
-17.9,0,0,0,0
-17.9,0,0,0,0
-17.8,0,0,0,0
-17.2,0,0,0,0
-16.8,0,0,0,0
-13,0,0,0,0
-13.5,0,0,0,0
-12.3,0,0,0,0
-10.8,0,0,0,0
-10.2,0,0,0,0
-9.3,0.13,0.09,6.1,-49.4
