名称,名称,説明,x4,x3,x2,x1,a
1,Cq_AS_A,能力比特性（冷）,0,0,0,-0.0091,1.3185
2,Cq_AS_B,能力比特性（冷）,0,0,0,-0.0025,1.0875
55,Cq_AS_C,能力比特性（冷）,0,0,0,-0.0277,2.1895
3,Cq_WS_A,能力比特性（冷）,0,0,0,-0.0078,1.2327
4,Cq_WS_B,能力比特性（冷）,0,0,0,0,1
63,Cq_WS_C,能力比特性（冷）,0,0,-0.00008,-0.0096,1.38912
101,Cq_WS_D,能力比特性（冷）,0,0,-0.000078,-0.009328,1.349813
102,Cq_WS_E,能力比特性（冷）,0,0,0,-0.0092,1.2753
5,Cp_AS_A,入力比特性（冷）,0,0,0.000296,0.0004,0.6234
6,Cp_AS_B,入力比特性（冷）,0,0,0.0001212,0.00369,0.72238
56,Cp_AS_C,入力比特性（冷）,0,0,0,0,1.397
7,Cp_WS_A,入力比特性（冷）,0,0,0.0002,0.00945,0.5365
8,Cp_WS_B,入力比特性（冷）,0,0,0.000175,0.0095,0.5168
9,Cp_WS_C,入力比特性（冷）,0,0,0.0004,0.0096,0.2832
10,Cp_WS_D,入力比特性（冷）,0,0,0,0.01233333,0.60533333
11,Cp_WS_E,入力比特性（冷）,0,0,0,0,1
64,Cp_WS_F,入力比特性（冷）,0,0,0.0001,0.0172,0.3472
103,Cp_WS_G,入力比特性（冷）,0,0,0.000105,0.018044,0.364247
104,Cp_WS_H,入力比特性（冷）,0,0,0,0.0238,0.2841
12,Cx_AS_A,部分負荷特性（冷）,0,0,0.3344,0.4707,0.1949
13,Cx_AS_B,部分負荷特性（冷）,0,0,0.1726,0.7688,0.0586
14,Cx_AS_C,部分負荷特性（冷）,0,0,0.8573,-0.0456,0.1883
60,Cx_AS_D,部分負荷特性（冷）,0,0,0.7793,0.104,0.1167
15,Cx_WS_A,部分負荷特性（冷）,0,0,0.16775714,0.75781429,0.07442857
16,Cx_WS_B1,部分負荷特性（冷）,0,0.21876667,0.0032,0.51906667,0.25896667
17,Cx_WS_B2,部分負荷特性（冷）,0,0,0.4759,0.2765,0.2476
18,Cx_WS_B3,部分負荷特性（冷）,0,0,0.58656667,0.24616667,0.16726667
19,Cx_WS_C,部分負荷特性（冷）,0,0,0.4485,-0.3268,0.8783
20,Cx_WS_D,部分負荷特性（冷）,0,0,0.3806,0.2455,0.3739
21,Cx_WS_E,部分負荷特性（冷）,0,0,0.2957,0.6677,0.0366
22,Cx_WS_F,部分負荷特性（冷）,0,0,0.1293,0.9839,-0.414248
23,Cx_WS_G,部分負荷特性（冷）,0,0,0.2621,0.7598,-0.251529
24,Cx_WS_H,部分負荷特性（冷）,0,0,0.3495,0.6056,-0.09870375
25,Cx_WS_I,部分負荷特性（冷）,0,0,0.3485,0.5937,-0.062855
65,Cx_WS_J,部分負荷特性（冷）,0,0,0.6464,0.1922,0.1614
,Cx_WS_K,部分負荷特性（冷）,0,0,0,1,0
26,Cw_AS_A,送水温度特性（冷）,0,0,0,0,1
27,Cw_WS_A,送水温度特性（冷）,0,0,0,-0.036,1.2541
28,Cw_WS_B,送水温度特性（冷）,0,0,0,-0.01275714,1.0893
29,Cw_WS_C,送水温度特性（冷）,0,0,0,-0.036,0.823
30,Cw_WS_D,送水温度特性（冷）,0,0,0,-0.036,1.1815
31,Cw_WS_E,送水温度特性（冷）,0,0,0,-0.01275714,0.93621429
105,Cw_WS_F,送水温度特性（冷）,0,0,0.00017077,-0.03120553,1.21085468
32,Hq_AS_A1,能力比特性（温）,0,0,0,0.0255,0.847
33,Hq_AS_A2,能力比特性（温）,0,0,0,0.0153,0.762
34,Hq_AS_A3,能力比特性（温）,0,0,0,0.0255,0.847
35,Hq_AS_B1,能力比特性（温）,0,0,0,0.0255,0.847
36,Hq_AS_B2,能力比特性（温）,0,0,0,0.0153,0.762
37,Hq_AS_B3,能力比特性（温）,0,0,0,0.0255,0.847
38,Hq_AS_C1,能力比特性（温）,0,0,0,0.0215,0.871
39,Hq_AS_C2,能力比特性（温）,0,0,0,0.01035,0.7818
40,Hq_AS_C3,能力比特性（温）,0,0,0,0.0215,0.871
41,Hq_AS_D,能力比特性（温）,0,0,0,-0.00269231,1.01615385
57,Hq_AS_E1,能力比特性（温）,0,0,0,0.0266,1.193808
58,Hq_AS_E2,能力比特性（温）,0,0,0,0.0266,1.5504
66,Hq_WS_A,能力比特性（温）,0,0,-0.00002,0.0201,0.51
106,Hq_WS_B,能力比特性（温）,0,0,-0.000022,0.022235,0.564159
107,Hq_WS_C,能力比特性（温）,0,0,0.00043086,0.0139506,0.69458128
42,Hq_boilerA,能力比特性（温）,0,0,0,0,1
43,Hp_AS_A,入力比特性（温）,0,0,0,0.0042,0.9748
44,Hp_AS_B,入力比特性（温）,0,0,0,0.0128,0.9232
45,Hp_AS_C,入力比特性（温）,0,0,0.00088899,-0.04316821,1.22700547
59,Hp_AS_D,入力比特性（温）,0,0,0,0,2.05191943
67,Hp_WS_A,入力比特性（温）,0,0,-0.0001,0.0003,1.055
108,Hp_WS_B,入力比特性（温）,0,0,-0.000098,0.000294,1.033301
109,Hp_WS_C,入力比特性（温）,0,-0.00002084,0.00101676,-0.0084623,0.96755819
46,Hp_boilerA,入力比特性（温）,0,0,0,0,1
62,Hp_EH_A,入力比特性（温）,0,0,0,0,1.176471
47,Hx_AS_A,部分負荷特性（温）,-2.1702,5.7835,-5.0347,2.3429,0.0785
48,Hx_AS_B,部分負荷特性（温）,0,0,0.2094,0.7519,0.0387
49,Hx_AS_C,部分負荷特性（温）,0,0,0.7823,0.0398,0.1779
61,Hx_AS_D,部分負荷特性（温）,0,0,0.6962,0.1724,0.1314
68,Hx_WS_A,部分負荷特性（温）,0,0,1.141,-0.4084,0.2674
,Hx_WS_B,部分負荷特性（温）,0,0,0,1,0
50,Hx_boilerA,部分負荷特性（温）,0,0,0,1,0
51,Hw_AS_A,送水温度特性（温）,0,0,0.0006,-0.0303,1.1485
