記号,説明,木製・樹脂製,,,,金属木複合製・金属樹脂複合製,,,,金属製,,,,ガラス単体,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3WgG06,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層6mm）,1.95 ,1.82 ,0.39 ,0.30 ,2.27 ,2.09 ,0.43 ,0.33 ,2.64 ,2.41 ,0.43 ,0.33 ,1.40 ,1.30 ,0.54 ,0.41 
3WgG07,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層7mm）,1.89 ,1.76 ,0.39 ,0.30 ,2.19 ,2.02 ,0.43 ,0.33 ,2.56 ,2.33 ,0.43 ,0.33 ,1.30 ,1.20 ,0.54 ,0.41 
3WgG08,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層8mm）,1.82 ,1.70 ,0.39 ,0.30 ,2.11 ,1.95 ,0.43 ,0.33 ,2.48 ,2.26 ,0.43 ,0.33 ,1.20 ,1.10 ,0.54 ,0.41 
3WgG09,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層9mm）,1.76 ,1.64 ,0.39 ,0.30 ,2.03 ,1.87 ,0.43 ,0.33 ,2.40 ,2.18 ,0.43 ,0.33 ,1.10 ,1.00 ,0.54 ,0.41 
3WgG10,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層10mm）,1.69 ,1.58 ,0.39 ,0.30 ,1.95 ,1.80 ,0.43 ,0.33 ,2.32 ,2.11 ,0.43 ,0.33 ,1.00 ,0.96 ,0.54 ,0.41 
3WgG11,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層11mm）,1.66 ,1.54 ,0.39 ,0.30 ,1.91 ,1.76 ,0.43 ,0.33 ,2.28 ,2.07 ,0.43 ,0.33 ,0.95 ,0.91 ,0.54 ,0.41 
3WgG12,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層12mm）,1.62 ,1.51 ,0.39 ,0.30 ,1.87 ,1.72 ,0.43 ,0.33 ,2.24 ,2.03 ,0.43 ,0.33 ,0.90 ,0.86 ,0.54 ,0.41 
3WgG13,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層13mm）,1.60 ,1.49 ,0.39 ,0.30 ,1.84 ,1.69 ,0.43 ,0.33 ,2.21 ,2.00 ,0.43 ,0.33 ,0.86 ,0.83 ,0.54 ,0.41 
3WgG14,三層ガラス（Low-E　2枚、断熱ガス、日射取得型、空気層14mm）,1.57 ,1.46 ,0.39 ,0.30 ,1.80 ,1.66 ,0.43 ,0.33 ,2.17 ,1.97 ,0.43 ,0.33 ,0.82 ,0.79 ,0.54 ,0.41 
