日付,時刻,外気温度,法線面直達日射,水平面天空日射,夜間放射量,絶対湿度
北見,,[℃],[W/m2],[W/m2],[W/m2],[g/kg']
1月1日,1,-13,0.0000000000000000,0.0000000000000000,50.0000000000000000,1.3000000000000000
1月1日,2,-14.2,0.0000000000000000,0.0000000000000000,50.0000000000000000,1.3000000000000000
1月1日,3,-15,0.0000000000000000,0.0000000000000000,52.7777777777778000,1.2000000000000000
1月1日,4,-16.2,0.0000000000000000,0.0000000000000000,55.5555555555556000,1.0000000000000000
1月1日,5,-16.7,0.0000000000000000,0.0000000000000000,58.3333333333333000,1.0000000000000000
1月1日,6,-17.9,0.0000000000000000,0.0000000000000000,61.1111111111111000,0.9000000000000000
1月1日,7,-17.5,0.0000000000000000,5.5555555555555600,61.1111111111111000,0.9000000000000000
1月1日,8,-16.7,277.7777777777780000,44.4444444444444000,61.1111111111111000,1.0000000000000000
1月1日,9,-15.6,613.8888888888890000,61.1111111111111000,83.3333333333333000,1.1000000000000000
1月1日,10,-11.6,813.8888888888890000,55.5555555555556000,91.6666666666667000,1.5000000000000000
1月1日,11,-11.6,847.2222222222220000,58.3333333333333000,91.6666666666667000,1.5000000000000000
1月1日,12,-11.3,855.5555555555560000,55.5555555555556000,88.8888888888889000,1.5000000000000000
1月1日,13,-9.4,791.6666666666670000,58.3333333333333000,91.6666666666667000,1.7000000000000000
1月1日,14,-7.2,661.1111111111110000,55.5555555555556000,94.4444444444444000,1.7000000000000000
1月1日,15,-7.8,213.8888888888890000,41.6666666666667000,63.8888888888889000,1.7000000000000000
1月1日,16,-9.3,0.0000000000000000,2.7777777777777800,61.1111111111111000,1.7000000000000000
1月1日,17,-10.3,0.0000000000000000,0.0000000000000000,58.3333333333333000,1.7000000000000000
1月1日,18,-10.5,0.0000000000000000,0.0000000000000000,58.3333333333333000,1.7000000000000000
1月1日,19,-12,0.0000000000000000,0.0000000000000000,58.3333333333333000,1.5000000000000000
1月1日,20,-12.5,0.0000000000000000,0.0000000000000000,55.5555555555556000,1.4000000000000000
1月1日,21,-13.3,0.0000000000000000,0.0000000000000000,55.5555555555556000,1.3000000000000000
1月1日,22,-14.1,0.0000000000000000,0.0000000000000000,55.5555555555556000,1.2000000000000000
