日付,時刻,外気温度,法線面直達日射,水平面天空日射,夜間放射量,絶対湿度
宮崎,,[℃],[W/m2],[W/m2],[W/m2],[g/kg']
1月1日,1,3.5,0.0000000000000000,0.0000000000000000,94.4444444444444000,4.1000000000000000
1月1日,2,2.9,0.0000000000000000,0.0000000000000000,94.4444444444444000,4.0000000000000000
1月1日,3,2.7,0.0000000000000000,0.0000000000000000,94.4444444444444000,3.9000000000000000
1月1日,4,1.8,0.0000000000000000,0.0000000000000000,94.4444444444444000,3.7000000000000000
1月1日,5,1.3,0.0000000000000000,0.0000000000000000,97.2222222222222000,3.5000000000000000
1月1日,6,0.8,0.0000000000000000,0.0000000000000000,97.2222222222222000,3.4000000000000000
1月1日,7,0.4,0.0000000000000000,2.7777777777777800,94.4444444444444000,3.4000000000000000
1月1日,8,0.9,450.0000000000000000,38.8888888888889000,97.2222222222222000,3.4000000000000000
1月1日,9,3.1,594.4444444444440000,77.7777777777778000,100.0000000000000000,3.6000000000000000
1月1日,10,7.4,697.2222222222220000,97.2222222222222000,102.7777777777780000,3.9000000000000000
1月1日,11,9.6,783.3333333333330000,102.7777777777780000,111.1111111111110000,3.1000000000000000
1月1日,12,10.4,847.2222222222220000,94.4444444444444000,113.8888888888890000,3.1000000000000000
1月1日,13,11.5,827.7777777777780000,97.2222222222222000,113.8888888888890000,3.3000000000000000
1月1日,14,11.7,769.4444444444440000,97.2222222222222000,111.1111111111110000,3.4000000000000000
1月1日,15,12.4,594.4444444444440000,102.7777777777780000,113.8888888888890000,3.6000000000000000
1月1日,16,11.7,388.8888888888890000,75.0000000000000000,108.3333333333330000,3.9000000000000000
1月1日,17,11,327.7777777777780000,16.6666666666667000,105.5555555555560000,4.3000000000000000
1月1日,18,10.4,0.0000000000000000,0.0000000000000000,102.7777777777780000,4.5000000000000000
1月1日,19,7.6,0.0000000000000000,0.0000000000000000,100.0000000000000000,4.6000000000000000
1月1日,20,6.2,0.0000000000000000,0.0000000000000000,97.2222222222222000,4.6000000000000000
1月1日,21,5.5,0.0000000000000000,0.0000000000000000,97.2222222222222000,4.5000000000000000
1月1日,22,5.5,0.0000000000000000,0.0000000000000000,97.2222222222222000,4.5000000000000000
1月1日,23,4.6,0.0000000000000000,0.0000000000000000,97.2222222222222000,4.2000000000000000
