áTaêVìæ (117),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-7.6,0.00,0.00,0.0,0.0
-8.4,0.00,0.00,0.0,0.0
-9.0,0.00,0.00,0.0,0.0
-9.4,0.00,0.00,0.0,0.0
-9.6,0.00,0.00,0.0,0.0
-9.8,0.00,0.00,0.0,0.0
-9.8,0.01,0.01,0.0,0.0
-7.2,0.18,0.12,7.9,-47.9
-6.4,0.17,0.25,15.2,-36.0
-6.4,0.41,0.44,20.6,-22.6
-6.4,0.73,0.54,23.5,-8.0
-7.8,0.39,0.50,23.6,7.0
-8.5,0.78,0.47,20.9,21.6
-7.4,1.19,0.33,15.7,35.1
-8.9,1.44,0.16,8.4,47.2
-10.2,0.01,0.02,0.0,0.0
-11.1,0.00,0.00,0.0,0.0
-11.6,0.00,0.00,0.0,0.0
-12.3,0.00,0.00,0.0,0.0
-12.4,0.00,0.00,0.0,0.0
-12.6,0.00,0.00,0.0,0.0
-12.3,0.00,0.00,0.0,0.0
-12.3,0.00,0.00,0.0,0.0
-12.6,0.00,0.00,0.0,0.0
-12.5,0.00,0.00,0.0,0.0
-12.5,0.00,0.00,0.0,0.0
-12.3,0.00,0.00,0.0,0.0
-11.7,0.00,0.00,0.0,0.0
-11.4,0.00,0.00,0.0,0.0
-11.1,0.00,0.00,0.0,0.0
-10.6,0.01,0.02,0.0,0.0
-9.4,0.38,0.15,7.9,-48.1
-8.4,1.71,0.28,15.3,-36.1
-7.2,2.85,0.22,20.6,-22.7
-5.6,3.00,0.22,23.6,-8.2
-4.7,3.01,0.22,23.7,6.9
-4.2,2.86,0.22,21.0,21.6
-4.3,2.44,0.21,15.8,35.0
-4.7,0.47,0.17,8.6,47.1
-5.1,0.04,0.03,0.0,0.0
-5.2,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-0.5,0.01,0.01,0.0,0.0
0.0,0.21,0.13,7.9,-48.2
0.4,0.19,0.26,15.3,-36.3
1.1,0.29,0.41,20.7,-22.9
2.5,2.60,0.30,23.6,-8.3
3.2,2.61,0.30,23.8,6.8
2.2,1.71,0.40,21.1,21.5
2.4,0.51,0.34,15.9,35.0
2.3,0.19,0.14,8.7,47.1
0.8,0.01,0.02,0.0,57.9
0.3,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
0.9,0.01,0.01,0.0,0.0
-0.2,0.11,0.11,7.9,-48.3
0.8,0.09,0.22,15.3,-36.4
1.8,0.10,0.31,20.8,-23.0
0.4,0.09,0.35,23.7,-8.4
1.8,0.16,0.42,23.9,6.7
2.1,0.49,0.46,21.2,21.4
1.8,0.79,0.35,16.1,34.9
1.3,0.11,0.12,8.9,47.0
0.8,0.01,0.02,0.2,57.9
-1.0,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.7,0.01,0.01,0.0,0.0
-0.6,0.18,0.12,8.0,-48.5
-0.5,0.16,0.26,15.4,-36.5
-0.1,0.84,0.47,20.8,-23.2
-0.3,2.54,0.32,23.8,-8.5
-0.2,1.47,0.50,24.0,6.6
-0.4,0.23,0.40,21.4,21.3
-0.9,0.24,0.29,16.2,34.9
-0.2,0.34,0.17,9.0,47.0
-0.6,0.01,0.02,0.3,57.8
-0.8,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-6.6,0.00,0.00,0.0,0.0
-6.8,0.00,0.00,0.0,0.0
-7.8,0.00,0.00,0.0,0.0
-7.8,0.00,0.00,0.0,0.0
-9.2,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-4.5,0.01,0.02,0.0,0.0
-4.8,0.36,0.15,8.0,-48.6
-3.5,1.78,0.28,15.4,-36.7
-2.5,2.87,0.22,20.9,-23.3
-2.4,3.03,0.22,23.9,-8.7
-2.4,2.69,0.29,24.1,6.5
-2.7,2.90,0.22,21.5,21.3
-2.4,2.47,0.21,16.3,34.9
-2.6,1.87,0.15,9.2,47.0
-3.1,0.15,0.04,0.5,57.8
-4.0,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.5,0.01,0.01,0.0,0.0
-6.1,0.07,0.10,8.0,-48.8
-5.3,0.08,0.21,15.5,-36.8
-6.1,0.08,0.29,21.0,-23.4
-5.1,0.07,0.34,24.0,-8.8
-4.2,0.07,0.34,24.3,6.4
-2.4,0.08,0.30,21.6,21.2
0.3,0.12,0.26,16.5,34.8
-0.5,0.34,0.18,9.3,47.0
-2.0,0.01,0.02,0.6,57.9
-3.5,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.2,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.0,0.01,0.02,0.0,0.0
-4.0,0.39,0.15,8.1,-49.0
-3.8,0.98,0.34,15.5,-37.0
-3.0,2.09,0.35,21.1,-23.6
-2.4,2.23,0.38,24.2,-8.9
-2.0,2.96,0.24,24.4,6.3
-1.2,2.87,0.22,21.8,21.1
-1.0,2.44,0.22,16.7,34.8
-0.6,1.64,0.17,9.5,47.0
-1.7,0.15,0.04,0.8,57.9
-1.6,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-7.2,0.00,0.00,0.0,0.0
-8.3,0.00,0.00,0.0,0.0
-9.2,0.00,0.00,0.0,0.0
-8.6,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-7.4,0.00,0.00,0.0,0.0
-8.3,0.00,0.00,0.0,0.0
-9.4,0.01,0.01,0.0,0.0
-9.9,0.17,0.13,8.1,-49.1
-6.8,0.16,0.26,15.6,-37.2
-4.2,0.38,0.44,21.2,-23.7
-0.9,2.14,0.40,24.3,-9.0
-0.3,2.18,0.39,24.6,6.2
-0.3,0.63,0.49,22.0,21.1
-0.6,0.37,0.34,16.8,34.8
-0.2,0.16,0.15,9.6,47.0
-0.5,0.04,0.03,1.0,57.9
-1.6,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
