áTaçfì‡ (124),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-16.7,0.00,0.00,0.0,0.0
-16.3,0.00,0.00,0.0,0.0
-15.8,0.00,0.00,0.0,0.0
-15.6,0.00,0.00,0.0,0.0
-16.1,0.00,0.00,0.0,0.0
-15.8,0.00,0.00,0.0,0.0
-13.9,0.01,0.01,0.0,0.0
-11.5,0.08,0.10,8.4,-47.6
-9.0,0.05,0.18,15.7,-35.6
-6.2,0.04,0.24,21.0,-22.2
-5.3,0.07,0.32,23.8,-7.6
-4.8,0.04,0.27,23.8,7.5
-4.5,0.04,0.24,21.0,22.1
-4.6,0.05,0.18,15.7,35.6
-4.3,0.07,0.10,8.4,47.6
-4.5,0.01,0.01,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-11.5,0.00,0.00,0.0,0.0
-10.8,0.00,0.00,0.0,0.0
-12.8,0.00,0.00,0.0,0.0
-14.8,0.00,0.00,0.0,0.0
-14.1,0.00,0.00,0.0,0.0
-12.0,0.00,0.00,0.0,0.0
-12.1,0.00,0.00,0.0,0.0
-13.5,0.00,0.00,0.0,0.0
-15.6,0.00,0.00,0.0,0.0
-16.7,0.00,0.00,0.0,0.0
-18.4,0.01,0.02,0.0,0.0
-17.1,0.18,0.13,8.4,-47.7
-13.8,0.73,0.34,15.7,-35.7
-9.8,2.46,0.29,21.0,-22.3
-7.4,2.62,0.30,23.9,-7.7
-2.3,2.62,0.30,23.9,7.4
-1.4,2.45,0.29,21.1,22.1
-1.4,1.78,0.29,15.8,35.5
-1.7,0.99,0.17,8.5,47.5
-6.2,0.01,0.02,0.0,0.0
-9.3,0.00,0.00,0.0,0.0
-11.5,0.00,0.00,0.0,0.0
-12.6,0.00,0.00,0.0,0.0
-15.9,0.00,0.00,0.0,0.0
-17.1,0.00,0.00,0.0,0.0
-18.0,0.00,0.00,0.0,0.0
-18.8,0.00,0.00,0.0,0.0
-19.0,0.00,0.00,0.0,0.0
-19.6,0.00,0.00,0.0,0.0
-19.4,0.00,0.00,0.0,0.0
-19.3,0.00,0.00,0.0,0.0
-18.5,0.00,0.00,0.0,0.0
-18.6,0.00,0.00,0.0,0.0
-19.3,0.00,0.00,0.0,0.0
-19.6,0.01,0.02,0.0,0.0
-18.4,1.47,0.16,8.4,-47.9
-14.3,2.18,0.24,15.7,-35.9
-9.0,2.55,0.27,21.1,-22.5
-3.8,2.68,0.29,24.0,-7.8
-1.0,2.68,0.29,24.0,7.3
0.3,2.56,0.27,21.2,22.0
0.0,1.18,0.34,15.9,35.5
-0.7,0.20,0.14,8.7,47.5
-1.7,0.01,0.02,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-7.4,0.00,0.00,0.0,0.0
-11.4,0.00,0.00,0.0,0.0
-13.0,0.00,0.00,0.0,0.0
-13.3,0.00,0.00,0.0,0.0
-15.1,0.00,0.00,0.0,0.0
-15.8,0.00,0.00,0.0,0.0
-16.3,0.01,0.02,0.0,0.0
-15.0,1.55,0.15,8.4,-48.0
-12.0,2.50,0.20,15.8,-36.0
-5.6,2.89,0.22,21.2,-22.6
-2.6,3.04,0.22,24.1,-7.9
-1.9,3.03,0.22,24.1,7.2
-0.9,2.89,0.22,21.4,21.9
-0.8,2.52,0.20,16.1,35.4
-0.9,1.49,0.16,8.8,47.5
-2.9,0.01,0.02,0.0,58.2
-4.9,0.00,0.00,0.0,0.0
-10.9,0.00,0.00,0.0,0.0
-11.7,0.00,0.00,0.0,0.0
-14.1,0.00,0.00,0.0,0.0
-15.0,0.00,0.00,0.0,0.0
-14.9,0.00,0.00,0.0,0.0
-15.9,0.00,0.00,0.0,0.0
-16.1,0.00,0.00,0.0,0.0
-16.7,0.00,0.00,0.0,0.0
-17.6,0.00,0.00,0.0,0.0
-18.0,0.00,0.00,0.0,0.0
-18.9,0.00,0.00,0.0,0.0
-19.0,0.00,0.00,0.0,0.0
-19.7,0.00,0.00,0.0,0.0
-19.4,0.01,0.02,0.0,0.0
-18.3,1.80,0.15,8.4,-48.2
-15.1,2.68,0.18,15.8,-36.2
-11.5,3.09,0.18,21.2,-22.7
-4.9,3.23,0.19,24.2,-8.1
-4.0,3.22,0.19,24.3,7.1
-2.9,3.11,0.18,21.5,21.8
-3.1,2.66,0.19,16.2,35.4
-3.7,1.79,0.15,8.9,47.4
-7.3,0.04,0.03,0.2,58.2
-11.3,0.00,0.00,0.0,0.0
-13.5,0.00,0.00,0.0,0.0
-14.9,0.00,0.00,0.0,0.0
-16.4,0.00,0.00,0.0,0.0
-17.3,0.00,0.00,0.0,0.0
-18.9,0.00,0.00,0.0,0.0
-19.8,0.00,0.00,0.0,0.0
-20.4,0.00,0.00,0.0,0.0
-20.5,0.00,0.00,0.0,0.0
-21.3,0.00,0.00,0.0,0.0
-22.0,0.00,0.00,0.0,0.0
-22.2,0.00,0.00,0.0,0.0
-22.8,0.00,0.00,0.0,0.0
-22.8,0.00,0.00,0.0,0.0
-21.2,0.01,0.02,0.0,0.0
-18.5,0.18,0.13,8.5,-48.3
-15.9,1.54,0.31,15.9,-36.3
-11.2,2.44,0.29,21.3,-22.9
-9.0,2.56,0.32,24.3,-8.2
