áVî\ë„ (186),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-2.6,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.7,0.01,0.01,0.0,0.0
-1.5,0.06,0.09,8.2,-50.3
-2.2,0.05,0.19,16.2,-38.8
-1.5,0.08,0.32,22.4,-25.7
-0.8,0.13,0.42,26.0,-11.1
-0.7,0.46,0.59,26.7,4.3
-0.8,0.09,0.34,24.3,19.4
-0.4,0.05,0.23,19.2,33.2
-1.3,0.06,0.15,12.0,45.4
-1.2,0.08,0.04,3.1,56.1
-1.7,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
1.0,0.01,0.01,0.0,0.0
1.1,0.09,0.11,8.2,-50.4
1.6,0.13,0.25,16.3,-38.9
2.1,0.11,0.34,22.4,-25.8
2.3,0.72,0.60,26.1,-11.2
3.0,0.88,0.62,26.8,4.2
3.1,0.55,0.55,24.4,19.3
2.8,0.17,0.33,19.3,33.1
2.3,0.08,0.16,12.1,45.4
2.2,0.11,0.04,3.2,56.0
2.0,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.5,0.01,0.01,0.0,0.0
2.0,0.08,0.10,8.2,-50.6
2.1,0.06,0.20,16.3,-39.1
2.8,0.13,0.37,22.4,-26.0
2.7,0.35,0.56,26.1,-11.3
1.6,0.35,0.57,26.9,4.1
2.1,0.09,0.35,24.5,19.2
2.5,0.06,0.24,19.5,33.1
1.9,0.07,0.16,12.2,45.3
1.8,0.12,0.04,3.4,56.0
1.6,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.2,0.01,0.01,0.0,0.0
2.5,0.05,0.09,8.2,-50.7
3.0,0.06,0.18,16.3,-39.2
3.8,0.04,0.26,22.5,-26.1
4.0,0.04,0.29,26.2,-11.5
3.5,0.03,0.31,27.0,4.0
3.6,0.04,0.27,24.7,19.1
4.0,0.05,0.22,19.6,33.0
3.2,0.05,0.14,12.4,45.3
2.3,0.05,0.04,3.5,56.0
2.0,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
