áUëÂîó (230),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-4.7,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-6.1,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.3,0.01,0.02,0.0,0.0
-3.0,0.15,0.15,9.4,-49.5
-2.3,0.14,0.28,17.4,-37.9
-2.4,0.13,0.39,23.4,-24.6
-1.7,0.21,0.52,26.9,-9.9
-1.9,0.14,0.46,27.3,5.6
-2.2,0.68,0.57,24.7,20.7
-2.6,1.27,0.41,19.3,34.4
-3.5,0.65,0.25,11.8,46.5
-4.0,0.67,0.06,2.7,56.9
-4.8,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-7.4,0.00,0.00,0.0,0.0
-9.5,0.00,0.00,0.0,0.0
-9.3,0.00,0.00,0.0,0.0
-9.2,0.00,0.00,0.0,0.0
-9.6,0.00,0.00,0.0,0.0
-10.2,0.00,0.00,0.0,0.0
-10.4,0.00,0.00,0.0,0.0
-9.4,0.01,0.02,0.0,0.0
-8.2,0.23,0.16,9.4,-49.6
-7.0,0.21,0.32,17.4,-38.0
-5.0,1.65,0.46,23.5,-24.8
-1.3,2.39,0.40,26.9,-10.0
-0.8,1.32,0.60,27.4,5.5
-0.5,0.31,0.51,24.8,20.6
0.5,1.21,0.42,19.4,34.4
0.2,0.72,0.25,11.9,46.4
-0.5,0.34,0.05,2.8,56.9
-1.5,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-4.5,0.01,0.02,0.0,0.0
-4.7,0.15,0.15,9.4,-49.8
-3.9,0.15,0.28,17.5,-38.2
-2.0,1.45,0.49,23.5,-24.9
1.3,2.59,0.35,27.0,-10.1
2.9,0.48,0.62,27.5,5.4
4.9,0.14,0.42,24.9,20.5
4.9,0.22,0.37,19.5,34.3
4.0,0.15,0.19,12.0,46.4
2.7,0.15,0.04,3.0,56.9
1.2,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.0,0.01,0.01,0.0,0.0
2.3,0.08,0.12,9.4,-49.9
