áVòhëq (286),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-8.5,0.00,0.00,0.0,0.0
-8.6,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-8.5,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-8.0,0.00,0.00,0.0,0.0
-8.0,0.01,0.02,0.2,-60.2
-8.0,0.06,0.12,9.9,-50.4
-7.8,0.07,0.24,18.3,-39.1
-7.6,0.06,0.33,24.7,-26.0
-7.7,0.07,0.39,28.5,-11.1
-7.8,0.06,0.40,29.2,4.7
-7.9,0.06,0.36,26.6,20.0
-7.6,0.07,0.27,21.2,33.9
-7.2,0.07,0.17,13.6,46.0
-7.2,0.09,0.05,4.3,56.4
-7.8,0.00,0.00,0.0,0.0
-7.8,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-8.1,0.00,0.00,0.0,0.0
-7.8,0.00,0.00,0.0,0.0
-7.4,0.00,0.00,0.0,0.0
-7.2,0.00,0.00,0.0,0.0
-7.2,0.00,0.00,0.0,0.0
-7.0,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-6.6,0.00,0.00,0.0,0.0
-6.6,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-6.9,0.04,0.03,0.2,-60.4
-6.8,0.28,0.18,9.9,-50.6
-6.3,0.68,0.41,18.3,-39.3
-5.1,2.85,0.26,24.8,-26.1
-3.0,2.99,0.28,28.6,-11.2
-2.0,3.03,0.28,29.3,4.5
-1.3,2.93,0.27,26.7,19.9
-1.6,0.40,0.45,21.4,33.9
-2.5,0.29,0.26,13.7,45.9
-2.7,0.29,0.08,4.5,56.3
-2.9,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-0.9,0.01,0.02,0.1,-60.5
-1.2,0.06,0.12,9.9,-50.7
-1.4,0.06,0.24,18.4,-39.4
-1.3,0.07,0.33,24.8,-26.2
-1.4,0.06,0.39,28.6,-11.4
-1.2,0.05,0.36,29.4,4.4
-1.2,0.04,0.32,26.9,19.8
-1.1,0.07,0.28,21.5,33.8
-1.2,0.07,0.17,13.9,45.9
-1.0,0.08,0.05,4.6,56.3
-1.2,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
