áVé·èº (292),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-0.6,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.1,0.01,0.02,0.0,-60.4
-0.1,0.11,0.14,9.8,-50.7
0.7,0.11,0.27,18.3,-39.4
1.5,0.09,0.38,24.8,-26.3
2.6,0.27,0.59,28.6,-11.5
5.2,1.32,0.65,29.4,4.3
6.1,0.99,0.62,26.9,19.7
6.8,0.11,0.32,21.5,33.7
6.9,0.11,0.20,13.9,45.7
6.3,0.11,0.06,4.7,56.1
5.8,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
3.0,0.01,0.02,0.0,-60.6
3.4,0.07,0.12,9.8,-50.8
3.6,0.07,0.24,18.3,-39.6
3.9,0.07,0.33,24.8,-26.5
4.1,0.04,0.30,28.7,-11.6
5.3,0.04,0.31,29.5,4.2
6.5,0.07,0.37,27.0,19.6
6.8,0.07,0.28,21.7,33.6
6.9,0.06,0.17,14.1,45.7
6.0,0.07,0.05,4.8,56.1
5.4,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.0,0.01,0.02,0.0,0.0
1.8,0.16,0.15,9.8,-51.0
2.4,0.13,0.30,18.3,-39.7
2.6,0.15,0.42,24.8,-26.6
3.3,0.62,0.67,28.8,-11.8
3.5,0.65,0.69,29.6,4.1
4.2,2.52,0.37,27.1,19.5
4.6,0.45,0.47,21.8,33.5
3.8,0.56,0.30,14.2,45.7
2.9,0.18,0.07,5.0,56.1
1.3,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-2.2,0.01,0.02,0.0,0.0
-2.5,0.23,0.17,9.8,-51.1
-1.4,0.06,0.22,18.3,-39.9
-0.2,0.04,0.26,24.9,-26.8
0.0,0.03,0.32,28.8,-11.9
0.4,0.02,0.33,29.7,3.9
0.4,0.04,0.29,27.2,19.4
0.4,0.03,0.23,21.9,33.5
0.3,0.04,0.14,14.3,45.7
0.5,0.04,0.05,5.1,56.1
0.5,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
