áVèºñ{ (401),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-1.6,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.1,0.01,0.02,0.0,0.0
-0.1,0.11,0.13,9.4,-52.2
0.5,0.06,0.23,18.2,-41.3
2.1,0.08,0.36,25.1,-28.4
2.4,0.12,0.49,29.5,-13.6
3.7,0.21,0.59,30.7,2.3
5.0,0.62,0.66,28.6,18.0
6.9,0.50,0.52,23.4,32.2
7.3,0.20,0.28,15.9,44.5
7.3,0.58,0.13,6.7,55.0
4.6,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.4,0.00,0.04,9.4,-52.3
2.8,0.00,0.11,18.2,-41.4
3.0,0.02,0.18,25.2,-28.5
3.9,0.00,0.22,29.6,-13.8
3.6,0.02,0.23,30.8,2.1
4.3,0.03,0.26,28.7,17.9
4.5,0.03,0.25,23.5,32.2
4.5,0.09,0.22,16.0,44.5
4.0,0.16,0.10,6.8,55.0
3.3,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.4,0.01,0.01,0.0,0.0
0.1,0.23,0.16,9.4,-52.5
1.4,0.37,0.37,18.2,-41.5
2.3,0.66,0.58,25.2,-28.7
3.5,1.32,0.66,29.6,-13.9
4.1,2.60,0.40,30.9,2.0
6.3,3.33,0.21,28.8,17.8
6.2,2.96,0.23,23.7,32.1
7.4,2.34,0.23,16.2,44.5
6.4,1.89,0.13,6.9,55.0
4.3,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
0.4,0.01,0.02,0.0,0.0
0.3,0.30,0.17,9.4,-52.6
1.6,2.55,0.23,18.3,-41.7
2.8,3.84,0.15,25.3,-28.8
4.3,4.11,0.14,29.7,-14.1
3.4,1.77,0.61,31.0,1.9
3.4,1.14,0.66,28.9,17.7
3.5,2.63,0.30,23.8,32.1
3.4,0.51,0.35,16.3,44.4
2.8,0.33,0.13,7.1,55.0
2.1,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
-0.2,0.01,0.02,0.0,0.0
0.4,1.41,0.18,9.4,-52.8
2.2,3.02,0.16,18.3,-41.8
3.8,3.38,0.17,25.3,-29.0
4.9,3.59,0.16,29.8,-14.2
5.0,3.55,0.17,31.1,1.8
5.2,3.46,0.18,29.1,17.6
4.7,3.35,0.16,24.0,32.0
4.5,2.43,0.22,16.5,44.4
3.1,0.53,0.14,7.2,55.0
2.0,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.6,0.04,0.03,0.0,0.0
-2.9,0.50,0.19,9.4,-52.9
-2.3,0.83,0.41,18.3,-42.0
0.3,2.60,0.33,25.4,-29.1
-0.4,0.32,0.63,29.9,-14.3
0.1,0.30,0.66,31.2,1.7
0.1,0.19,0.55,29.2,17.5
-0.5,0.15,0.42,24.1,32.0
-1.0,0.13,0.26,16.6,44.4
-1.1,0.11,0.10,7.4,55.0
-1.0,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-5.4,0.04,0.03,0.0,0.0
-4.2,1.58,0.17,9.4,-53.1
-1.9,2.59,0.22,18.4,-42.2
0.5,2.99,0.25,25.4,-29.3
2.8,3.30,0.22,30.0,-14.5
2.0,3.34,0.22,31.3,1.6
3.2,3.22,0.23,29.3,17.5
3.4,2.86,0.26,24.3,31.9
3.2,1.33,0.35,16.8,44.4
2.2,0.32,0.14,7.5,55.0
1.4,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.8,0.01,0.02,0.0,0.0
-0.3,0.95,0.19,9.4,-53.3
0.4,0.21,0.33,18.4,-42.3
0.8,0.33,0.54,25.5,-29.5
1.5,0.32,0.64,30.1,-14.6
0.0,0.11,0.52,31.5,1.4
0.4,0.15,0.53,29.5,17.4
0.4,0.17,0.44,24.4,31.9
-0.4,0.08,0.23,16.9,44.4
-0.9,0.05,0.08,7.7,55.0
-1.2,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-6.4,0.00,0.00,0.0,0.0
-6.6,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-6.7,0.01,0.02,0.0,0.0
-5.6,1.22,0.19,9.5,-53.4
-3.1,2.19,0.29,18.5,-42.5
-1.0,3.13,0.22,25.6,-29.6
1.6,3.37,0.20,30.2,-14.8
1.5,3.32,0.23,31.6,1.3
2.5,2.58,0.39,29.6,17.3
3.2,1.45,0.52,24.6,31.9
2.2,0.26,0.32,17.1,44.4
1.4,0.25,0.14,7.9,55.1
0.8,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-6.8,0.01,0.01,0.0,0.0
-5.4,1.14,0.19,9.5,-53.6
-4.5,0.55,0.40,18.5,-42.7
-2.7,2.01,0.45,25.7,-29.8
-0.1,1.55,0.64,30.3,-14.9
1.6,1.72,0.64,31.8,1.2
2.6,0.40,0.66,29.8,17.3
2.1,0.55,0.56,24.8,31.9
1.5,0.29,0.33,17.3,44.4
1.2,0.24,0.14,8.0,55.1
-0.8,0.01,0.01,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-1.8,0.01,0.01,0.0,0.0
-1.5,0.11,0.13,9.6,-53.8
-0.9,0.15,0.30,18.6,-42.8
0.4,2.74,0.30,25.8,-30.0
2.7,2.18,0.51,30.4,-15.1
4.1,2.42,0.47,31.9,1.1
3.3,1.05,0.70,30.0,17.2
3.4,0.43,0.55,24.9,31.8
2.6,0.22,0.31,17.5,44.4
1.9,0.11,0.11,8.2,55.1
1.3,0.01,0.01,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.3,0.04,0.03,0.0,0.0
-1.7,0.28,0.17,9.6,-53.9
-1.2,0.27,0.36,18.7,-43.0
0.1,2.04,0.45,25.9,-30.1
1.2,2.46,0.44,30.6,-15.2
3.5,2.74,0.39,32.1,1.0
5.0,2.75,0.36,30.2,17.2
6.9,2.49,0.34,25.1,31.8
6.2,1.38,0.36,17.6,44.5
5.8,1.03,0.17,8.4,55.2
3.6,0.01,0.01,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.1,0.01,0.01,0.0,0.0
-1.2,0.27,0.17,9.7,-54.1
-0.3,2.45,0.25,18.7,-43.2
2.1,2.93,0.26,26.0,-30.3
2.9,3.25,0.24,30.7,-15.4
5.3,3.50,0.19,32.2,0.9
5.9,1.61,0.63,30.3,17.1
4.4,2.09,0.43,25.3,31.8
4.7,3.33,0.16,17.8,44.5
3.4,0.83,0.18,8.6,55.2
1.8,0.01,0.01,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.5,0.01,0.02,0.0,0.0
-1.3,1.98,0.16,9.7,-54.3
-0.8,1.79,0.34,18.8,-43.4
0.0,0.25,0.51,26.1,-30.5
1.0,1.85,0.59,30.9,-15.5
2.2,3.72,0.15,32.4,0.8
2.4,2.84,0.34,30.5,17.1
4.0,3.03,0.24,25.5,31.8
3.5,2.52,0.23,18.0,44.5
1.7,1.23,0.17,8.7,55.3
0.1,0.01,0.01,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
