áUç≤ãv (403),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-2.8,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.2,0.04,0.03,0.0,0.0
-2.8,1.22,0.19,9.7,-51.9
-1.5,2.24,0.28,18.5,-40.8
-0.6,3.02,0.24,25.3,-27.9
0.2,1.97,0.54,29.6,-13.1
0.4,3.19,0.25,30.7,2.8
0.6,3.10,0.25,28.4,18.5
0.9,2.90,0.24,23.2,32.7
0.8,2.37,0.21,15.6,44.9
0.2,1.51,0.12,6.3,55.3
-1.1,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-7.4,0.00,0.00,0.0,0.0
-7.2,0.00,0.00,0.0,0.0
-7.7,0.00,0.00,0.0,0.0
-7.5,0.00,0.00,0.0,0.0
-7.7,0.04,0.03,0.0,0.0
-6.9,0.70,0.20,9.7,-52.0
-4.5,2.24,0.28,18.5,-41.0
-2.0,3.02,0.24,25.4,-28.1
-0.7,3.15,0.25,29.7,-13.2
1.4,3.17,0.26,30.8,2.7
3.1,3.11,0.25,28.6,18.4
4.7,2.93,0.23,23.3,32.6
5.7,2.38,0.21,15.7,44.9
5.4,1.55,0.13,6.5,55.3
3.5,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.8,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-6.3,0.01,0.02,0.0,0.0
-5.6,0.18,0.16,9.7,-52.1
-3.8,0.18,0.32,18.5,-41.1
-2.5,0.41,0.55,25.4,-28.2
1.7,2.81,0.34,29.7,-13.4
2.5,2.83,0.35,30.9,2.6
3.7,0.28,0.58,28.7,18.3
5.7,1.76,0.45,23.5,32.6
7.9,1.60,0.30,15.9,44.8
6.8,0.29,0.12,6.6,55.3
4.9,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-3.1,0.01,0.02,0.0,0.0
-2.6,0.37,0.19,9.7,-52.3
1.6,0.84,0.41,18.5,-41.3
3.3,2.77,0.29,25.5,-28.4
4.5,2.92,0.31,29.8,-13.5
5.2,2.08,0.54,31.0,2.5
5.6,1.12,0.66,28.8,18.2
5.6,1.33,0.51,23.6,32.5
5.2,1.07,0.34,16.0,44.8
5.0,0.71,0.14,6.7,55.3
2.3,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-6.4,0.01,0.02,0.0,0.0
-5.5,0.82,0.20,9.7,-52.4
-0.4,2.46,0.25,18.6,-41.4
1.4,1.65,0.51,25.5,-28.5
0.9,0.88,0.70,29.9,-13.7
1.2,0.88,0.73,31.1,2.3
0.1,0.91,0.68,28.9,18.1
0.2,0.81,0.55,23.7,32.5
0.9,2.28,0.23,16.2,44.8
0.2,1.49,0.13,6.9,55.3
-1.2,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-6.1,0.00,0.00,0.0,0.0
-6.2,0.00,0.00,0.0,0.0
-7.2,0.00,0.00,0.0,0.0
-7.4,0.04,0.03,0.0,0.0
-6.2,0.45,0.19,9.7,-52.6
-2.9,2.51,0.24,18.6,-41.6
-1.3,2.86,0.27,25.6,-28.7
2.5,3.02,0.29,30.0,-13.8
6.0,3.03,0.30,31.2,2.2
8.5,2.59,0.38,29.1,18.1
8.9,2.02,0.41,23.9,32.4
8.8,1.75,0.30,16.3,44.8
7.0,1.06,0.14,7.0,55.3
5.2,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-0.2,0.01,0.02,0.0,0.0
0.0,0.30,0.18,9.7,-52.8
0.0,0.54,0.41,18.6,-41.8
0.6,2.86,0.27,25.6,-28.8
0.8,2.97,0.30,30.1,-14.0
0.3,1.42,0.68,31.3,2.1
0.2,1.79,0.57,29.2,18.0
0.0,2.76,0.27,24.0,32.4
-0.9,2.31,0.23,16.5,44.8
-1.9,0.91,0.15,7.2,55.3
-3.0,0.00,0.00,0.0,0.0
-3.9,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-7.9,0.00,0.00,0.0,0.0
-8.4,0.00,0.00,0.0,0.0
-8.1,0.00,0.00,0.0,0.0
-8.3,0.00,0.00,0.0,0.0
-8.1,0.00,0.00,0.0,0.0
-8.2,0.04,0.03,0.0,0.0
-7.0,1.06,0.20,9.8,-52.9
-4.9,2.70,0.22,18.7,-41.9
-2.7,3.05,0.24,25.7,-29.0
-1.5,3.22,0.24,30.2,-14.1
0.0,3.24,0.25,31.5,2.0
1.5,3.18,0.24,29.4,17.9
2.8,3.00,0.23,24.2,32.4
3.5,2.50,0.21,16.6,44.8
3.5,1.74,0.14,7.4,55.4
1.3,0.01,0.01,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-7.2,0.00,0.00,0.0,0.0
-8.3,0.00,0.00,0.0,0.0
-8.1,0.00,0.00,0.0,0.0
-8.6,0.00,0.00,0.0,0.0
-9.2,0.00,0.00,0.0,0.0
-9.5,0.04,0.03,0.0,0.0
-8.5,0.86,0.20,9.8,-53.1
-5.4,2.63,0.22,18.7,-42.1
-2.3,3.04,0.24,25.8,-29.2
0.8,3.15,0.26,30.3,-14.3
3.3,3.21,0.26,31.6,1.9
4.7,3.14,0.25,29.5,17.8
6.7,2.96,0.24,24.4,32.3
7.6,2.51,0.22,16.8,44.8
6.7,1.54,0.14,7.5,55.4
4.0,0.01,0.01,0.0,0.0
1.0,0.00,0.00,0.0,0.0
