áUà…ìﬂ (412),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
0.6,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.3,0.01,0.02,0.0,0.0
1.3,1.16,0.20,9.7,-52.3
2.1,2.52,0.24,18.6,-41.3
2.6,2.89,0.26,25.5,-28.5
3.7,3.01,0.29,29.9,-13.7
4.0,3.02,0.30,31.1,2.3
5.0,2.93,0.30,29.0,18.0
5.6,2.74,0.27,23.8,32.3
4.7,2.22,0.24,16.2,44.6
3.6,1.32,0.13,6.9,55.0
0.3,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
-3.7,0.01,0.01,0.0,0.0
-3.6,0.05,0.11,9.7,-52.4
-3.0,0.04,0.22,18.6,-41.5
-2.6,0.04,0.28,25.6,-28.6
-2.2,0.03,0.34,30.0,-13.8
-1.8,0.03,0.35,31.2,2.2
-1.2,0.03,0.32,29.1,18.0
-1.3,0.03,0.27,23.9,32.3
-0.8,0.05,0.19,16.3,44.6
-0.9,0.06,0.08,7.0,55.0
-1.1,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
5.1,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
3.3,0.01,0.02,0.0,0.0
4.0,0.42,0.19,9.7,-52.5
5.0,2.23,0.28,18.6,-41.6
7.1,2.54,0.34,25.6,-28.8
8.0,2.65,0.39,30.1,-14.0
9.7,2.66,0.40,31.3,2.0
11.9,2.63,0.37,29.2,17.9
13.3,2.43,0.34,24.0,32.2
13.0,1.99,0.28,16.5,44.6
11.1,0.91,0.15,7.2,55.0
8.1,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
5.9,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.9,0.01,0.02,0.0,0.0
1.1,1.02,0.20,9.7,-52.7
3.4,2.51,0.24,18.6,-41.8
4.4,2.86,0.27,25.6,-28.9
5.1,2.95,0.31,30.1,-14.1
5.0,2.99,0.31,31.4,1.9
5.6,2.94,0.30,29.3,17.8
5.5,2.73,0.28,24.2,32.2
5.2,2.27,0.24,16.6,44.5
4.3,1.34,0.14,7.3,55.0
2.7,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.2,0.00,0.00,0.0,0.0
-4.7,0.01,0.01,0.0,0.0
-4.0,0.06,0.11,9.7,-52.8
-3.2,0.05,0.21,18.6,-41.9
-2.9,0.03,0.29,25.7,-29.1
-2.3,0.04,0.33,30.2,-14.3
-1.9,0.04,0.34,31.5,1.8
-2.5,0.04,0.32,29.5,17.7
-2.6,0.04,0.27,24.3,32.1
-2.5,0.05,0.19,16.8,44.5
-2.6,0.05,0.08,7.5,55.0
-2.9,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-4.7,0.01,0.02,0.0,0.0
-5.8,0.89,0.20,9.7,-53.0
-3.3,2.43,0.25,18.7,-42.1
-1.2,2.82,0.28,25.8,-29.2
-0.1,2.92,0.32,30.3,-14.4
1.4,2.98,0.32,31.7,1.7
2.6,2.92,0.31,29.6,17.6
2.7,2.75,0.28,24.5,32.1
2.8,2.27,0.25,16.9,44.5
2.1,0.78,0.16,7.6,55.0
0.0,0.01,0.01,0.0,0.0
0.1,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.2,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-7.4,0.00,0.00,0.0,0.0
-7.8,0.00,0.00,0.0,0.0
-9.1,0.00,0.00,0.0,0.0
-9.4,0.01,0.02,0.0,0.0
-8.9,1.24,0.19,9.7,-53.1
-5.3,2.59,0.23,18.7,-42.3
-1.7,2.95,0.26,25.8,-29.4
-0.7,3.06,0.28,30.4,-14.6
0.8,3.10,0.29,31.8,1.6
1.8,3.04,0.28,29.7,17.5
3.0,2.84,0.26,24.6,32.0
3.2,2.42,0.23,17.1,44.5
2.3,1.14,0.16,7.8,55.0
0.7,0.01,0.01,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
6.6,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.4,0.01,0.02,0.0,0.0
2.3,0.31,0.18,9.7,-53.3
4.9,1.51,0.38,18.7,-42.4
5.7,2.08,0.44,25.9,-29.6
6.4,2.59,0.40,30.5,-14.7
7.1,2.62,0.42,31.9,1.5
6.8,2.56,0.40,29.9,17.5
7.2,1.42,0.53,24.8,32.0
5.8,2.01,0.29,17.2,44.5
5.4,1.17,0.16,7.9,55.1
2.9,0.01,0.01,0.0,0.0
2.1,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-3.3,0.01,0.02,0.0,0.0
-1.8,0.14,0.15,9.7,-53.5
1.0,0.16,0.32,18.8,-42.6
2.3,0.84,0.60,26.0,-29.7
5.5,1.31,0.68,30.6,-14.8
5.2,0.83,0.76,32.0,1.3
5.3,1.96,0.55,30.1,17.4
5.2,1.83,0.47,25.0,32.0
4.0,0.60,0.38,17.4,44.5
3.5,0.26,0.14,8.1,55.1
2.1,0.01,0.01,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.1,0.01,0.02,0.0,0.0
1.1,0.33,0.18,9.8,-53.7
1.9,1.83,0.34,18.8,-42.8
2.4,2.08,0.44,26.1,-29.9
2.5,2.19,0.51,30.7,-15.0
2.6,2.23,0.52,32.2,1.2
1.9,2.19,0.50,30.2,17.3
1.7,0.27,0.51,25.1,32.0
-0.3,0.24,0.33,17.6,44.5
-0.6,0.16,0.13,8.3,55.1
-2.0,0.01,0.01,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.8,0.00,0.00,0.0,0.0
-6.4,0.00,0.00,0.0,0.0
-6.4,0.00,0.00,0.0,0.0
-6.1,0.00,0.00,0.0,0.0
-6.8,0.00,0.00,0.0,0.0
-7.1,0.00,0.00,0.0,0.0
-8.3,0.00,0.00,0.0,0.0
-9.3,0.00,0.00,0.0,0.0
-9.8,0.01,0.02,0.0,0.0
