áWaçbï{ (420),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
2.8,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.8,0.01,0.08,10.1,-51.9
3.6,0.02,0.15,19.0,-40.9
4.1,0.01,0.19,25.9,-28.0
4.6,0.03,0.28,30.2,-13.1
5.3,0.05,0.36,31.3,2.9
6.0,0.05,0.35,29.0,18.7
6.5,0.08,0.34,23.7,32.9
7.3,0.22,0.29,16.0,45.1
7.4,0.45,0.13,6.6,55.4
6.7,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
4.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
0.9,0.01,0.02,0.0,0.0
1.2,0.14,0.15,10.1,-52.0
2.4,0.11,0.29,19.0,-41.1
3.6,0.19,0.48,25.9,-28.1
5.3,0.98,0.71,30.2,-13.2
8.1,0.62,0.74,31.3,2.8
8.9,0.31,0.61,29.1,18.6
10.6,0.93,0.54,23.8,32.8
11.4,1.23,0.34,16.1,45.0
12.4,1.37,0.13,6.7,55.4
10.5,0.00,0.00,0.0,0.0
8.9,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
2.4,0.08,0.04,0.0,0.0
3.2,1.03,0.21,10.1,-52.2
5.2,2.10,0.31,19.0,-41.2
8.4,2.76,0.30,26.0,-28.3
11.3,2.92,0.32,30.3,-13.4
12.2,2.78,0.37,31.4,2.7
12.4,1.66,0.59,29.2,18.5
12.1,1.00,0.54,23.9,32.8
11.5,0.23,0.30,16.2,45.0
11.2,0.36,0.13,6.9,55.4
10.1,0.00,0.00,0.0,0.0
9.3,0.00,0.00,0.0,0.0
8.5,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-2.3,0.08,0.04,0.0,0.0
-0.6,1.64,0.18,10.1,-52.3
1.7,2.10,0.31,19.0,-41.4
3.8,2.36,0.38,26.0,-28.4
5.8,2.51,0.42,30.4,-13.5
9.2,2.68,0.40,31.5,2.5
9.8,2.70,0.36,29.3,18.4
9.1,2.52,0.32,24.1,32.7
8.9,2.02,0.27,16.4,45.0
7.5,0.88,0.14,7.0,55.4
