áVè„ã„àÍêF (423),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-1.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.7,0.01,0.02,0.1,-61.2
2.3,0.07,0.13,10.3,-51.9
3.5,0.06,0.25,19.1,-40.9
4.7,0.06,0.35,26.0,-28.0
5.2,0.07,0.41,30.3,-13.1
5.2,0.06,0.44,31.4,3.0
5.1,0.07,0.40,29.1,18.7
5.5,0.06,0.32,23.7,33.0
5.9,0.07,0.20,16.0,45.2
6.5,0.07,0.08,6.6,55.5
5.7,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.3,0.01,0.02,0.0,-61.4
3.6,0.10,0.14,10.2,-52.0
4.6,0.11,0.29,19.1,-41.0
5.5,0.10,0.40,26.1,-28.1
8.4,0.16,0.56,30.4,-13.2
11.0,1.66,0.65,31.5,2.9
10.8,0.10,0.45,29.2,18.7
10.4,0.11,0.36,23.9,32.9
9.1,0.10,0.23,16.2,45.1
7.4,0.11,0.09,6.8,55.5
5.8,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
2.8,0.01,0.02,0.0,-61.5
2.3,0.18,0.17,10.2,-52.1
3.5,0.39,0.40,19.1,-41.2
5.3,1.14,0.59,26.1,-28.3
6.6,0.53,0.70,30.4,-13.3
7.8,0.90,0.75,31.6,2.7
8.5,0.66,0.69,29.3,18.6
8.3,0.26,0.48,24.0,32.9
7.8,0.16,0.27,16.3,45.1
7.0,0.17,0.11,6.9,55.5
4.7,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-2.4,0.04,0.03,0.0,-61.6
-2.1,0.36,0.20,10.2,-52.3
-1.7,1.56,0.38,19.1,-41.3
3.2,2.94,0.26,26.1,-28.4
5.5,3.07,0.28,30.5,-13.5
6.1,2.69,0.40,31.7,2.6
6.0,2.22,0.48,29.4,18.5
5.4,0.46,0.53,24.1,32.8
4.4,0.35,0.33,16.5,45.1
2.7,0.38,0.13,7.1,55.5
0.6,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-2.7,0.04,0.03,0.0,0.0
-2.2,0.43,0.20,10.2,-52.4
-2.0,1.33,0.40,19.2,-41.5
0.9,2.98,0.26,26.2,-28.6
4.7,2.74,0.37,30.6,-13.6
5.3,3.13,0.28,31.8,2.5
5.8,3.08,0.27,29.6,18.4
4.9,1.10,0.55,24.3,32.8
4.9,0.38,0.34,16.6,45.1
2.9,0.42,0.14,7.2,55.5
2.5,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.2,0.04,0.03,0.0,0.0
-4.6,0.26,0.18,10.3,-52.6
-2.7,1.41,0.40,19.2,-41.7
1.5,1.39,0.56,26.3,-28.7
2.2,2.09,0.53,30.7,-13.8
2.9,0.67,0.76,31.9,2.4
3.1,2.52,0.41,29.7,18.3
2.9,0.51,0.55,24.4,32.7
3.0,0.26,0.32,16.8,45.1
2.2,0.30,0.13,7.4,55.5
1.0,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-3.9,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-4.2,0.08,0.04,0.0,0.0
-3.9,0.56,0.21,10.3,-52.8
-2.7,1.41,0.40,19.2,-41.8
2.8,3.03,0.25,26.3,-28.9
4.2,3.16,0.26,30.8,-13.9
4.7,3.19,0.27,32.0,2.3
5.7,3.13,0.26,29.9,18.3
4.4,1.15,0.55,24.6,32.7
3.2,0.41,0.35,16.9,45.0
2.3,0.43,0.14,7.5,55.5
0.5,0.01,0.01,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.7,0.08,0.04,0.0,0.0
-2.4,0.42,0.20,10.3,-52.9
-1.6,1.62,0.38,19.3,-42.0
3.1,3.00,0.26,26.4,-29.0
6.6,3.14,0.27,30.9,-14.1
7.0,3.16,0.28,32.2,2.2
7.3,3.10,0.27,30.0,18.2
5.9,1.13,0.56,24.7,32.7
5.3,0.40,0.35,17.1,45.1
4.2,0.45,0.15,7.7,55.5
1.6,0.01,0.01,0.0,0.0
1.0,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-4.7,0.08,0.04,0.0,0.0
-4.5,0.47,0.21,10.3,-53.1
-3.9,1.65,0.37,19.3,-42.2
0.2,3.08,0.24,26.5,-29.2
2.8,3.18,0.26,31.0,-14.2
3.7,3.20,0.27,32.3,2.1
4.8,3.14,0.26,30.2,18.1
4.8,1.43,0.53,24.9,32.6
4.7,0.41,0.36,17.2,45.1
4.0,0.42,0.15,7.8,55.6
1.0,0.01,0.01,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-4.0,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-3.9,0.08,0.04,0.0,-62.6
-3.7,0.42,0.20,10.4,-53.3
-2.4,1.64,0.38,19.4,-42.3
2.1,3.01,0.25,26.6,-29.4
6.6,3.13,0.27,31.1,-14.4
6.8,3.15,0.28,32.5,1.9
7.4,3.11,0.27,30.3,18.1
6.7,1.40,0.53,25.1,32.6
5.5,0.40,0.36,17.4,45.1
3.1,0.40,0.15,8.0,55.6
1.6,0.01,0.01,0.0,0.0
1.1,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
