áUéRíÜ (426),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-0.9,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-5.1,0.08,0.04,0.3,-61.1
-3.0,1.21,0.21,10.5,-51.7
-0.5,2.17,0.30,19.3,-40.7
4.0,2.45,0.37,26.2,-27.8
6.0,1.73,0.60,30.4,-12.8
5.1,0.83,0.75,31.5,3.2
6.6,1.71,0.58,29.1,19.0
6.0,2.37,0.35,23.7,33.2
4.3,0.95,0.35,16.0,45.3
2.9,0.21,0.11,6.5,55.6
2.6,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-5.3,0.04,0.03,0.2,-61.2
-1.7,0.18,0.17,10.4,-51.9
0.3,0.49,0.42,19.3,-40.9
1.6,2.35,0.39,26.2,-27.9
3.0,2.48,0.43,30.5,-13.0
4.7,2.50,0.44,31.6,3.1
5.2,2.42,0.43,29.2,18.9
5.2,2.25,0.37,23.8,33.1
4.6,1.19,0.34,16.1,45.3
2.8,0.20,0.11,6.7,55.6
-1.1,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-6.0,0.00,0.00,0.0,0.0
-6.4,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-7.3,0.00,0.00,0.0,0.0
-7.9,0.00,0.00,0.0,0.0
-9.5,0.00,0.00,0.0,0.0
-9.7,0.00,0.00,0.0,0.0
-10.9,0.00,0.00,0.0,0.0
-11.0,0.00,0.00,0.0,0.0
-10.8,0.15,0.04,0.2,-61.4
-5.6,1.76,0.18,10.4,-52.0
-2.1,2.68,0.22,19.3,-41.0
0.7,2.99,0.26,26.3,-28.1
1.9,3.13,0.27,30.6,-13.1
2.3,3.16,0.27,31.7,3.0
2.8,3.10,0.26,29.3,18.8
3.3,2.93,0.24,24.0,33.1
2.3,1.61,0.31,16.2,45.3
0.9,0.26,0.12,6.8,55.6
-0.9,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-6.4,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.8,0.01,0.01,0.2,-61.5
4.7,0.03,0.10,10.4,-52.2
5.9,0.03,0.18,19.3,-41.2
6.8,0.06,0.33,26.3,-28.2
7.0,0.02,0.21,30.7,-13.3
7.4,0.00,0.23,31.8,2.9
7.4,0.01,0.22,29.5,18.7
7.2,0.01,0.18,24.1,33.0
7.4,0.02,0.11,16.4,45.3
7.1,0.03,0.06,7.0,55.6
5.7,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
7.0,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
6.6,0.00,0.00,0.0,0.0
6.8,0.00,0.00,0.0,0.0
6.9,0.00,0.00,0.0,0.0
6.8,0.01,0.01,0.2,-61.7
7.9,0.08,0.13,10.4,-52.3
9.2,1.22,0.42,19.4,-41.3
9.8,0.85,0.61,26.4,-28.4
11.5,2.05,0.54,30.7,-13.4
12.3,2.06,0.56,31.9,2.7
12.0,1.69,0.60,29.6,18.6
11.1,1.89,0.44,24.3,33.0
10.4,0.30,0.32,16.5,45.2
7.4,0.16,0.11,7.1,55.6
4.5,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-2.3,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-5.4,0.01,0.02,0.2,-61.8
-2.4,0.07,0.13,10.5,-52.5
-1.6,0.07,0.24,19.4,-41.5
-0.8,0.05,0.32,26.4,-28.5
-0.3,0.37,0.68,30.8,-13.6
0.4,0.11,0.54,32.0,2.6
0.1,0.12,0.50,29.7,18.6
1.2,0.08,0.35,24.4,32.9
0.0,0.10,0.24,16.7,45.2
-0.6,0.07,0.09,7.3,55.6
-1.2,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-7.5,0.00,0.00,0.0,0.0
-7.1,0.00,0.00,0.0,0.0
-8.4,0.00,0.00,0.0,0.0
-8.4,0.00,0.00,0.0,0.0
-9.6,0.00,0.00,0.0,0.0
-9.0,0.00,0.00,0.0,0.0
-8.8,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-8.0,0.00,0.00,0.0,0.0
-8.6,0.00,0.00,0.0,0.0
-5.0,0.08,0.04,0.2,-62.0
-1.8,1.66,0.19,10.5,-52.6
0.4,2.64,0.23,19.4,-41.7
1.9,2.95,0.26,26.5,-28.7
2.3,3.06,0.29,30.9,-13.7
2.2,3.11,0.29,32.1,2.5
1.4,3.05,0.28,29.9,18.5
0.7,2.85,0.26,24.6,32.9
-0.8,1.61,0.32,16.8,45.2
-2.4,0.24,0.13,7.4,55.6
-3.2,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-10.7,0.00,0.00,0.0,0.0
-12.4,0.00,0.00,0.0,0.0
-13.0,0.00,0.00,0.0,0.0
-13.2,0.00,0.00,0.0,0.0
-13.3,0.00,0.00,0.0,0.0
-12.1,0.00,0.00,0.0,0.0
-13.0,0.00,0.00,0.0,0.0
-11.7,0.15,0.04,0.2,-62.1
-7.2,2.01,0.16,10.5,-52.8
-3.5,2.74,0.22,19.5,-41.8
-2.1,3.05,0.25,26.6,-28.9
-1.5,3.18,0.26,31.0,-13.8
-0.1,3.23,0.26,32.3,2.4
0.1,3.17,0.25,30.0,18.4
-0.5,2.99,0.24,24.7,32.9
0.2,1.68,0.32,17.0,45.2
-0.4,0.24,0.13,7.6,55.7
-1.1,0.01,0.01,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-6.8,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-8.9,0.00,0.00,0.0,0.0
-9.0,0.00,0.00,0.0,0.0
-10.3,0.00,0.00,0.0,0.0
-11.4,0.00,0.00,0.0,0.0
-11.3,0.00,0.00,0.0,0.0
-11.6,0.00,0.00,0.0,0.0
-10.3,0.00,0.00,0.0,0.0
-10.9,0.15,0.04,0.2,-62.3
-5.9,1.90,0.17,10.5,-53.0
-1.3,2.66,0.23,19.5,-42.0
1.3,3.00,0.25,26.7,-29.0
3.1,3.11,0.28,31.1,-14.0
4.1,3.16,0.28,32.4,2.3
5.8,3.10,0.27,30.2,18.4
5.5,2.91,0.26,24.9,32.9
5.0,1.63,0.33,17.2,45.3
3.6,0.26,0.14,7.7,55.7
-0.9,0.01,0.01,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.6,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-6.1,0.00,0.00,0.0,0.0
-5.0,0.23,0.05,0.2,-62.5
-3.0,1.72,0.19,10.6,-53.1
0.3,2.57,0.25,19.6,-42.2
3.2,2.93,0.27,26.7,-29.2
4.3,3.03,0.30,31.3,-14.1
5.0,3.05,0.31,32.5,2.2
5.1,3.03,0.29,30.4,18.3
4.9,2.87,0.26,25.1,32.8
4.2,1.58,0.34,17.4,45.3
2.9,0.24,0.14,7.9,55.7
1.7,0.01,0.01,0.0,0.0
0.8,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.4,0.00,0.00,0.0,0.0
-1.6,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.8,0.01,0.02,0.2,-62.6
-1.3,0.08,0.13,10.6,-53.3
-0.7,0.06,0.24,19.7,-42.3
0.0,0.04,0.33,26.8,-29.3
0.7,0.07,0.46,31.4,-14.3
1.5,0.48,0.75,32.7,2.1
2.8,0.27,0.63,30.5,18.2
3.1,0.05,0.31,25.2,32.8
2.7,0.08,0.25,17.5,45.3
2.7,0.08,0.10,8.1,55.8
0.2,0.01,0.01,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.9,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-3.6,0.04,0.03,0.3,-62.8
-0.7,0.11,0.15,10.6,-53.5
3.3,0.38,0.41,19.7,-42.5
8.4,1.01,0.62,26.9,-29.5
10.9,1.53,0.67,31.5,-14.4
9.0,1.03,0.77,32.9,2.0
8.5,0.07,0.43,30.7,18.2
8.0,0.07,0.36,25.4,32.8
7.0,0.09,0.25,17.7,45.3
6.8,0.12,0.11,8.3,55.8
5.3,0.01,0.01,0.0,0.0
4.5,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-4.7,0.23,0.05,0.3,-63.0
-1.4,1.82,0.18,10.7,-53.7
2.6,2.57,0.25,19.8,-42.7
4.4,2.90,0.28,27.1,-29.7
5.3,3.01,0.31,31.7,-14.6
6.2,3.07,0.31,33.0,1.9
6.4,2.98,0.31,30.9,18.2
5.5,2.86,0.27,25.6,32.8
5.0,1.60,0.35,17.9,45.4
3.8,0.23,0.15,8.4,55.9
0.1,0.01,0.01,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-7.9,0.00,0.00,0.0,0.0
-6.4,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.6,0.04,0.03,0.3,-63.2
-2.8,0.16,0.17,10.8,-53.8
-2.0,0.13,0.32,19.9,-42.9
-0.1,1.48,0.57,27.2,-29.9
1.6,2.37,0.48,31.8,-14.7
1.5,2.40,0.49,33.2,1.8
2.0,2.37,0.47,31.1,18.1
2.2,2.24,0.41,25.8,32.8
1.4,1.01,0.40,18.1,45.4
0.1,0.26,0.15,8.6,56.0
-2.2,0.01,0.01,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-6.0,0.00,0.00,0.0,0.0
-7.3,0.00,0.00,0.0,0.0
-8.8,0.00,0.00,0.0,0.0
-8.5,0.00,0.00,0.0,0.0
-9.5,0.00,0.00,0.0,0.0
-10.0,0.00,0.00,0.0,0.0
-10.4,0.00,0.00,0.0,0.0
-8.4,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-3.9,0.01,0.02,0.4,-63.4
-2.6,0.06,0.13,10.8,-54.0
-1.5,0.04,0.23,20.0,-43.1
-1.2,0.03,0.32,27.3,-30.0
-0.7,0.02,0.37,32.0,-14.9
-0.3,0.02,0.38,33.4,1.7
0.4,0.11,0.50,31.3,18.1
0.2,0.03,0.30,26.0,32.8
0.2,0.05,0.21,18.3,45.4
0.1,0.10,0.11,8.8,56.0
-0.5,0.01,0.01,0.0,0.0
-2.1,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-8.5,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-8.9,0.00,0.00,0.0,0.0
-9.2,0.00,0.00,0.0,0.0
-9.3,0.00,0.00,0.0,0.0
-8.4,0.00,0.00,0.0,0.0
-8.5,0.00,0.00,0.0,0.0
-9.8,0.00,0.00,0.0,0.0
-8.6,0.08,0.04,0.4,-63.6
-7.0,0.91,0.23,10.9,-54.2
-4.5,0.87,0.45,20.1,-43.3
-2.4,2.30,0.42,27.4,-30.2
-1.3,1.57,0.68,32.1,-15.0
-0.9,1.61,0.70,33.6,1.6
0.0,1.61,0.65,31.5,18.0
-0.5,1.24,0.58,26.2,32.9
-1.2,0.23,0.34,18.5,45.5
-1.9,0.17,0.14,9.0,56.1
-2.8,0.01,0.01,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-3.3,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-4.4,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-5.1,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-6.4,0.08,0.04,0.5,-63.8
-4.9,1.72,0.19,11.0,-54.4
-3.3,2.66,0.24,20.2,-43.5
-2.0,2.98,0.27,27.6,-30.4
-0.7,3.11,0.29,32.3,-15.1
-0.1,3.14,0.30,33.8,1.5
0.2,3.09,0.29,31.7,18.0
1.0,2.92,0.27,26.4,32.9
0.0,1.39,0.38,18.7,45.6
-1.1,0.35,0.17,9.2,56.2
-3.3,0.01,0.02,0.0,0.0
-6.8,0.00,0.00,0.0,0.0
-8.0,0.00,0.00,0.0,0.0
-9.0,0.00,0.00,0.0,0.0
-7.8,0.00,0.00,0.0,0.0
-10.7,0.00,0.00,0.0,0.0
-11.8,0.00,0.00,0.0,0.0
-9.5,0.00,0.00,0.0,0.0
-9.5,0.00,0.00,0.0,0.0
-9.7,0.00,0.00,0.0,0.0
-8.9,0.00,0.00,0.0,0.0
-7.7,0.00,0.00,0.0,0.0
-6.1,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-6.0,0.08,0.04,0.6,-64.0
-5.2,1.31,0.22,11.1,-54.6
-3.3,1.53,0.41,20.3,-43.6
-0.9,2.15,0.46,27.7,-30.6
0.4,2.24,0.53,32.5,-15.3
1.1,2.26,0.55,34.0,1.4
2.0,0.25,0.65,31.9,18.0
0.6,0.10,0.42,26.6,32.9
-1.6,0.10,0.28,18.9,45.6
-1.3,0.11,0.13,9.4,56.3
-0.5,0.01,0.01,0.0,0.0
2.5,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-2.7,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-9.1,0.00,0.00,0.0,0.0
-8.0,0.00,0.00,0.0,0.0
-7.7,0.34,0.05,0.6,-64.2
-4.2,1.81,0.19,11.2,-54.8
-1.4,2.49,0.27,20.4,-43.8
