áWbïlèº (438),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
3.8,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
5.9,0.15,0.04,0.0,0.0
6.8,1.70,0.18,10.2,-52.6
8.7,2.35,0.28,19.2,-41.8
9.7,2.70,0.32,26.4,-29.0
10.7,2.82,0.35,30.9,-14.1
10.9,2.85,0.36,32.2,2.0
11.4,2.80,0.35,30.1,18.0
11.4,2.60,0.32,24.8,32.4
10.8,2.20,0.26,17.1,44.7
9.8,1.56,0.14,7.7,55.0
8.2,0.01,0.01,0.0,0.0
7.3,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
5.2,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
5.1,0.00,0.00,0.0,0.0
4.7,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
2.7,0.08,0.04,0.0,0.0
3.9,1.61,0.19,10.2,-52.7
6.2,2.30,0.28,19.2,-41.9
7.5,2.66,0.33,26.4,-29.1
8.3,2.76,0.37,31.0,-14.3
9.4,2.79,0.38,32.3,1.9
9.8,2.75,0.36,30.2,17.9
9.3,1.46,0.53,25.0,32.3
9.8,2.16,0.27,17.3,44.6
9.1,1.52,0.14,7.8,55.0
7.6,0.01,0.01,0.0,0.0
6.9,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
5.7,0.00,0.00,0.0,0.0
5.2,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
2.2,0.08,0.04,0.0,0.0
3.4,1.02,0.21,10.2,-52.9
5.1,2.03,0.32,19.3,-42.1
7.7,2.29,0.41,26.5,-29.3
9.8,2.40,0.46,31.1,-14.4
10.5,2.44,0.47,32.4,1.8
11.3,2.40,0.45,30.3,17.8
12.5,2.27,0.39,25.1,32.3
11.2,1.00,0.38,17.4,44.6
11.0,0.52,0.16,8.0,55.0
9.9,0.01,0.01,0.0,0.0
9.1,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
8.0,0.00,0.00,0.0,0.0
7.6,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
7.3,0.00,0.00,0.0,0.0
7.3,0.00,0.00,0.0,0.0
7.6,0.00,0.00,0.0,0.0
7.6,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
7.9,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
8.1,0.00,0.00,0.0,0.0
8.4,0.01,0.02,0.0,0.0
9.1,0.07,0.12,10.2,-53.0
10.6,0.04,0.22,19.3,-42.2
11.4,0.04,0.29,26.5,-29.4
12.0,0.03,0.34,31.1,-14.5
12.2,0.03,0.35,32.5,1.7
12.8,0.03,0.34,30.4,17.7
13.2,0.04,0.28,25.2,32.2
13.2,0.05,0.20,17.6,44.6
13.1,0.06,0.09,8.1,55.0
12.6,0.00,0.00,0.0,0.0
12.4,0.00,0.00,0.0,0.0
12.1,0.00,0.00,0.0,0.0
11.9,0.00,0.00,0.0,0.0
11.9,0.00,0.00,0.0,0.0
12.2,0.00,0.00,0.0,0.0
12.1,0.00,0.00,0.0,0.0
12.1,0.00,0.00,0.0,0.0
12.2,0.00,0.00,0.0,0.0
12.2,0.00,0.00,0.0,0.0
12.1,0.00,0.00,0.0,0.0
12.0,0.00,0.00,0.0,0.0
12.4,0.00,0.00,0.0,0.0
12.7,0.00,0.00,0.0,0.0
12.5,0.04,0.03,0.0,0.0
12.7,0.67,0.21,10.2,-53.2
13.3,2.08,0.31,19.3,-42.4
13.2,2.36,0.39,26.6,-29.6
13.6,2.45,0.45,31.2,-14.7
14.9,2.49,0.46,32.6,1.5
15.3,2.46,0.44,30.6,17.6
15.2,2.29,0.39,25.4,32.2
14.4,1.93,0.30,17.7,44.6
12.8,1.33,0.16,8.3,55.0
10.7,0.01,0.01,0.0,0.0
9.1,0.00,0.00,0.0,0.0
8.0,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
7.3,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
6.9,0.00,0.00,0.0,0.0
6.9,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
5.9,0.00,0.00,0.0,0.0
5.7,0.01,0.02,0.0,0.0
5.9,0.08,0.13,10.2,-53.3
6.2,0.06,0.24,19.3,-42.6
6.5,0.05,0.33,26.6,-29.7
7.2,0.08,0.46,31.3,-14.8
7.3,0.05,0.39,32.8,1.4
7.3,0.05,0.37,30.7,17.6
7.7,0.05,0.32,25.5,32.1
8.9,0.51,0.38,17.9,44.6
8.8,0.23,0.15,8.4,55.0
8.0,0.01,0.01,0.0,0.0
6.6,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.2,0.04,0.03,0.0,0.0
4.6,1.08,0.21,10.2,-53.5
5.6,2.32,0.28,19.4,-42.7
6.0,2.64,0.34,26.7,-29.9
7.3,2.75,0.38,31.4,-15.0
7.4,2.80,0.38,32.9,1.3
7.6,2.75,0.37,30.9,17.5
7.2,2.62,0.33,25.7,32.1
6.1,2.23,0.27,18.0,44.6
5.5,1.47,0.16,8.6,55.0
3.9,0.01,0.02,0.0,0.0
2.9,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
0.2,0.01,0.02,0.0,0.0
0.9,0.09,0.13,10.2,-53.6
2.1,0.08,0.25,19.4,-42.9
2.8,0.07,0.35,26.8,-30.1
2.9,0.05,0.41,31.5,-15.1
2.7,0.05,0.43,33.0,1.2
2.7,0.06,0.40,31.0,17.4
4.6,0.63,0.60,25.8,32.1
5.9,1.03,0.40,18.2,44.6
5.9,0.45,0.17,8.7,55.0
4.6,0.01,0.01,0.0,0.0
3.8,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.8,0.08,0.04,0.0,0.0
1.9,1.21,0.21,10.2,-53.8
5.0,1.93,0.34,19.5,-43.1
7.3,2.17,0.44,26.8,-30.2
8.9,2.30,0.50,31.6,-15.3
10.2,2.34,0.51,33.2,1.1
11.1,2.31,0.49,31.2,17.3
11.7,1.83,0.49,26.0,32.0
10.2,0.24,0.34,18.3,44.6
9.3,0.18,0.14,8.9,55.1
8.7,0.01,0.01,0.0,0.0
8.8,0.00,0.00,0.0,0.0
8.3,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
7.5,0.00,0.00,0.0,0.0
7.6,0.00,0.00,0.0,0.0
7.5,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
5.1,0.00,0.00,0.0,0.0
4.5,0.15,0.04,0.0,0.0
5.3,1.67,0.18,10.3,-54.0
6.7,2.38,0.28,19.5,-43.2
8.6,2.70,0.33,26.9,-30.4
9.8,2.84,0.36,31.7,-15.4
10.5,2.90,0.36,33.3,1.0
11.0,2.85,0.35,31.3,17.3
11.3,2.72,0.31,26.2,32.0
11.0,2.29,0.27,18.5,44.6
10.2,1.45,0.17,9.1,55.1
8.4,0.01,0.02,0.0,0.0
7.6,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.5,0.04,0.03,0.0,0.0
4.9,0.20,0.17,10.3,-54.2
6.6,1.51,0.39,19.6,-43.4
9.0,2.31,0.41,27.0,-30.6
10.6,2.39,0.48,31.9,-15.6
11.2,2.42,0.49,33.5,0.9
12.1,2.39,0.47,31.5,17.2
12.5,2.28,0.41,26.3,32.0
12.0,1.91,0.33,18.7,44.6
11.5,1.31,0.18,9.3,55.2
9.8,0.01,0.02,0.0,0.0
8.9,0.00,0.00,0.0,0.0
7.7,0.00,0.00,0.0,0.0
7.3,0.00,0.00,0.0,0.0
5.9,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
5.7,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
5.9,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.9,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
7.8,0.01,0.02,0.0,0.0
7.8,0.03,0.08,10.3,-54.3
7.8,0.03,0.19,19.6,-43.6
8.5,0.04,0.31,27.1,-30.7
12.2,0.02,0.37,32.0,-15.7
15.3,0.05,0.36,33.6,0.8
15.6,0.02,0.36,31.7,17.2
16.1,0.10,0.40,26.5,32.0
13.4,0.07,0.26,18.9,44.6
12.4,0.07,0.11,9.4,55.2
12.0,0.01,0.01,0.0,0.0
11.4,0.00,0.00,0.0,0.0
10.5,0.00,0.00,0.0,0.0
10.5,0.00,0.00,0.0,0.0
10.5,0.00,0.00,0.0,0.0
9.4,0.00,0.00,0.0,0.0
9.2,0.00,0.00,0.0,0.0
8.7,0.00,0.00,0.0,0.0
8.5,0.00,0.00,0.0,0.0
8.4,0.00,0.00,0.0,0.0
7.7,0.00,0.00,0.0,0.0
7.0,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
5.6,0.08,0.04,0.0,0.0
6.5,1.62,0.19,10.4,-54.5
7.0,2.26,0.30,19.7,-43.8
8.3,2.59,0.35,27.2,-30.9
9.2,2.73,0.39,32.1,-15.9
9.1,2.74,0.41,33.8,0.6
9.2,2.70,0.40,31.9,17.1
9.4,2.59,0.34,26.7,32.0
8.6,2.24,0.29,19.1,44.7
7.8,1.04,0.20,9.6,55.3
6.6,0.01,0.02,0.0,0.0
