áWaåbìﬂ (473),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-0.7,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.6,0.01,0.01,0.0,0.0
3.8,0.03,0.08,9.5,-52.7
4.8,0.05,0.21,18.5,-41.9
6.1,0.08,0.36,25.6,-29.1
7.2,0.08,0.43,30.2,-14.3
8.1,0.07,0.45,31.5,1.7
9.1,0.13,0.51,29.5,17.5
10.8,0.08,0.34,24.3,31.9
11.3,0.26,0.31,16.8,44.3
11.0,0.08,0.09,7.5,54.7
9.7,0.00,0.00,0.0,0.0
9.4,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
7.7,0.00,0.00,0.0,0.0
7.3,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
6.8,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
5.3,0.01,0.01,0.0,0.0
5.4,0.09,0.13,9.5,-52.8
6.0,0.09,0.26,18.5,-42.0
6.9,0.15,0.45,25.7,-29.2
8.6,0.09,0.46,30.2,-14.5
9.5,0.10,0.47,31.6,1.6
10.3,0.09,0.43,29.6,17.4
10.6,0.08,0.36,24.5,31.9
11.6,0.27,0.32,16.9,44.2
10.7,0.51,0.15,7.6,54.7
8.6,0.00,0.00,0.0,0.0
8.0,0.00,0.00,0.0,0.0
7.5,0.00,0.00,0.0,0.0
6.6,0.00,0.00,0.0,0.0
