áWbélì˙és (480),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
8.3,0.00,0.00,0.0,0.0
7.6,0.00,0.00,0.0,0.0
6.8,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
6.4,0.01,0.02,0.0,0.0
6.2,0.38,0.18,9.3,-53.3
6.1,1.18,0.40,18.4,-42.6
7.2,2.16,0.42,25.7,-30.0
6.9,1.85,0.58,30.5,-15.3
6.5,2.25,0.52,32.0,0.8
6.5,0.73,0.71,30.2,16.8
5.5,0.18,0.45,25.1,31.3
5.1,0.29,0.34,17.6,43.7
4.5,0.25,0.14,8.3,54.2
3.8,0.01,0.01,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.5,0.01,0.01,0.0,0.0
2.3,0.07,0.11,9.3,-53.4
3.1,0.07,0.24,18.4,-42.8
3.8,0.06,0.35,25.8,-30.1
4.0,0.06,0.42,30.5,-15.4
4.3,0.06,0.45,32.1,0.7
4.7,0.08,0.41,30.3,16.7
5.0,0.06,0.34,25.3,31.2
4.7,0.07,0.23,17.8,43.7
4.6,0.07,0.10,8.5,54.2
3.9,0.01,0.01,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
5.2,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
6.6,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
7.3,0.01,0.02,0.0,0.0
8.9,0.27,0.17,9.3,-53.6
13.3,2.09,0.30,18.5,-42.9
15.6,2.02,0.45,25.8,-30.3
15.0,1.46,0.66,30.6,-15.6
15.3,0.37,0.71,32.2,0.5
14.7,0.70,0.72,30.4,16.6
13.2,0.35,0.54,25.4,31.2
13.5,0.46,0.38,17.9,43.7
12.0,0.38,0.16,8.6,54.2
10.4,0.01,0.01,0.0,0.0
9.7,0.00,0.00,0.0,0.0
9.2,0.00,0.00,0.0,0.0
9.2,0.00,0.00,0.0,0.0
9.4,0.00,0.00,0.0,0.0
8.7,0.00,0.00,0.0,0.0
8.4,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
8.0,0.00,0.00,0.0,0.0
7.7,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
6.6,0.00,0.00,0.0,0.0
5.6,0.01,0.02,0.0,0.0
6.3,0.73,0.19,9.3,-53.7
8.4,0.51,0.40,18.5,-43.1
8.3,0.22,0.50,25.8,-30.4
8.5,0.22,0.61,30.7,-15.7
9.1,0.15,0.56,32.3,0.4
9.7,1.38,0.67,30.5,16.5
10.5,1.33,0.56,25.5,31.1
9.3,0.71,0.40,18.0,43.7
8.5,0.21,0.15,8.8,54.2
7.5,0.01,0.01,0.0,0.0
7.0,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.4,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
2.8,0.01,0.01,0.0,0.0
3.9,0.07,0.11,9.3,-53.9
3.7,0.06,0.24,18.5,-43.2
3.9,0.07,0.35,25.9,-30.6
4.2,0.06,0.43,30.8,-15.8
4.6,0.07,0.44,32.4,0.3
4.5,0.07,0.42,30.6,16.4
4.6,0.07,0.34,25.7,31.1
3.3,0.03,0.19,18.2,43.6
2.9,0.02,0.06,8.9,54.2
2.5,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.2,0.01,0.02,0.0,0.0
3.2,0.57,0.19,9.3,-54.0
5.6,2.29,0.27,18.5,-43.4
7.9,1.91,0.48,25.9,-30.7
9.1,2.03,0.55,30.8,-16.0
10.0,2.45,0.47,32.5,0.2
9.3,1.34,0.68,30.8,16.3
10.7,2.67,0.32,25.8,31.0
9.4,0.90,0.41,18.3,43.6
9.0,0.50,0.18,9.1,54.2
