áTbéx‚îåŒî» (49),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-5.0,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.1,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-3.0,0.00,0.00,0.0,0.0
-2.4,0.01,0.01,0.0,0.0
-2.4,0.15,0.11,7.3,-49.0
-1.6,0.14,0.24,14.8,-37.2
-0.9,0.11,0.32,20.5,-24.0
-0.8,1.12,0.53,23.6,-9.5
-0.5,2.04,0.41,24.0,5.6
-1.0,1.93,0.38,21.5,20.3
-1.8,1.64,0.31,16.5,33.9
-2.5,1.02,0.19,9.4,46.1
-3.5,0.04,0.03,0.8,56.9
-4.0,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.2,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-4.5,0.00,0.00,0.0,0.0
-4.1,0.00,0.00,0.0,0.0
-4.2,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.1,0.01,0.01,0.0,0.0
-5.2,0.07,0.09,7.3,-49.2
-4.7,0.16,0.24,14.9,-37.4
-3.4,0.97,0.46,20.5,-24.1
-3.8,0.20,0.44,23.7,-9.6
-4.0,0.04,0.28,24.1,5.5
-4.9,0.04,0.26,21.6,20.2
-4.6,0.06,0.19,16.6,33.9
-4.6,0.04,0.10,9.6,46.1
-4.4,0.01,0.02,0.9,56.9
-4.4,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-7.3,0.00,0.00,0.0,0.0
-5.2,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-3.8,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-7.1,0.00,0.00,0.0,0.0
-6.2,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-6.1,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-4.8,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-4.9,0.01,0.01,0.0,0.0
-5.3,0.18,0.12,7.3,-49.3
-2.4,0.17,0.25,14.9,-37.5
-1.6,1.10,0.45,20.6,-24.3
-0.6,2.41,0.34,23.8,-9.7
0.0,2.40,0.35,24.2,5.4
-0.2,2.31,0.33,21.8,20.2
-0.1,1.97,0.28,16.8,33.8
-0.9,1.39,0.19,9.7,46.0
-1.9,0.23,0.05,1.1,56.9
-2.7,0.00,0.00,0.0,0.0
-2.8,0.00,0.00,0.0,0.0
-3.4,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-4.9,0.00,0.00,0.0,0.0
-4.7,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-5.0,0.00,0.00,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
