áWaóºí√ (495),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
2.4,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
6.8,0.01,0.01,0.0,0.0
6.6,0.42,0.17,8.6,-51.7
5.8,0.12,0.26,17.1,-40.5
6.2,0.07,0.32,23.7,-27.6
6.2,0.23,0.54,27.8,-12.9
6.2,0.32,0.61,28.9,2.7
5.9,0.89,0.62,26.7,18.1
5.0,0.35,0.45,21.7,32.2
4.7,0.09,0.20,14.3,44.5
5.0,0.10,0.07,5.3,55.1
4.5,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.9,0.01,0.01,0.0,0.0
3.6,0.06,0.10,8.6,-51.8
3.6,0.02,0.15,17.1,-40.6
2.7,0.02,0.22,23.7,-27.7
3.1,0.02,0.25,27.9,-13.1
2.4,0.01,0.26,28.9,2.6
2.7,0.04,0.30,26.8,18.0
2.3,0.03,0.25,21.8,32.2
2.4,0.05,0.17,14.5,44.5
2.1,0.08,0.06,5.4,55.1
2.1,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.9,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-1.6,0.01,0.02,0.0,0.0
-1.5,1.39,0.16,8.6,-51.9
-0.1,2.34,0.24,17.1,-40.8
2.8,2.74,0.27,23.8,-27.9
4.9,2.90,0.29,27.9,-13.2
5.2,2.92,0.30,29.0,2.5
6.0,2.89,0.28,26.9,18.0
5.9,2.67,0.26,21.9,32.1
5.6,2.05,0.23,14.6,44.5
5.4,1.43,0.11,5.6,55.1
4.9,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.7,0.01,0.01,0.0,0.0
1.6,0.20,0.14,8.6,-52.1
7.0,1.59,0.33,17.1,-40.9
8.4,2.17,0.38,23.8,-28.0
10.4,2.28,0.44,28.0,-13.3
11.0,2.29,0.45,29.1,2.4
11.8,2.25,0.43,27.1,17.9
11.9,2.08,0.37,22.1,32.1
11.8,1.56,0.28,14.7,44.4
11.4,0.30,0.10,5.7,55.1
9.6,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
8.1,0.00,0.00,0.0,0.0
8.0,0.00,0.00,0.0,0.0
7.9,0.00,0.00,0.0,0.0
8.4,0.00,0.00,0.0,0.0
8.0,0.00,0.00,0.0,0.0
8.3,0.00,0.00,0.0,0.0
8.3,0.00,0.00,0.0,0.0
8.8,0.00,0.00,0.0,0.0
8.3,0.00,0.00,0.0,0.0
9.9,0.00,0.00,0.0,0.0
9.6,0.00,0.00,0.0,0.0
8.9,0.00,0.00,0.0,0.0
8.4,0.00,0.00,0.0,0.0
8.0,0.05,0.09,8.6,-52.2
7.9,0.07,0.22,17.2,-41.1
7.6,0.06,0.31,23.9,-28.2
6.4,0.06,0.35,28.1,-13.5
5.4,0.05,0.37,29.3,2.2
4.8,0.06,0.34,27.2,17.8
4.8,0.09,0.33,22.2,32.0
4.9,0.56,0.32,14.9,44.4
4.2,0.39,0.11,5.9,55.1
3.8,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.1,0.01,0.01,0.0,0.0
1.8,0.15,0.13,8.6,-52.4
2.2,1.38,0.35,17.2,-41.2
4.3,1.67,0.47,24.0,-28.3
5.4,0.94,0.66,28.2,-13.6
4.8,0.14,0.51,29.4,2.1
4.9,0.55,0.63,27.3,17.7
5.0,1.63,0.44,22.4,32.0
4.7,0.33,0.29,15.0,44.4
3.8,0.14,0.09,6.0,55.1
3.2,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
2.3,0.01,0.01,0.0,0.0
1.9,0.08,0.11,8.6,-52.5
1.7,0.09,0.24,17.2,-41.4
