áWaç°èØ (542),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
2.3,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.4,0.04,0.08,8.6,-53.4
3.3,0.04,0.20,17.6,-42.7
3.6,0.05,0.27,24.9,-30.1
3.7,0.03,0.33,29.6,-15.5
3.9,0.03,0.35,31.2,0.4
3.8,0.03,0.26,29.4,16.2
3.8,0.01,0.23,24.6,30.8
3.8,0.05,0.20,17.2,43.3
3.7,0.06,0.09,8.1,53.9
3.4,0.01,0.01,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
0.8,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.0,0.01,0.01,0.0,0.0
1.2,0.06,0.09,8.5,-53.6
1.2,0.04,0.18,17.6,-42.9
1.2,0.04,0.27,24.9,-30.3
2.1,0.03,0.35,29.7,-15.7
3.0,0.07,0.43,31.3,0.3
3.3,0.03,0.36,29.6,16.2
2.4,0.10,0.38,24.7,30.7
3.0,0.05,0.20,17.4,43.2
3.0,0.02,0.07,8.2,53.9
2.1,0.01,0.01,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.4,0.01,0.01,0.0,0.0
0.8,0.34,0.16,8.5,-53.7
1.8,1.77,0.32,17.6,-43.0
4.1,2.77,0.28,24.9,-30.4
6.7,2.89,0.32,29.7,-15.8
7.7,2.96,0.32,31.4,0.1
9.0,2.89,0.32,29.7,16.1
9.5,2.74,0.29,24.8,30.6
9.7,2.33,0.25,17.5,43.2
6.5,0.95,0.17,8.4,53.9
4.2,0.01,0.01,0.0,0.0
2.7,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
10.3,0.00,0.00,0.0,0.0
11.0,0.00,0.00,0.0,0.0
8.4,0.00,0.00,0.0,0.0
6.9,0.01,0.01,0.0,0.0
11.9,0.12,0.12,8.5,-53.9
12.7,0.79,0.39,17.7,-43.2
13.6,1.29,0.55,25.0,-30.6
14.8,1.36,0.65,29.8,-16.0
14.9,0.17,0.58,31.5,0.0
15.0,0.08,0.42,29.8,16.0
14.8,0.07,0.36,25.0,30.6
14.9,0.14,0.29,17.6,43.2
14.5,0.13,0.12,8.5,53.9
14.6,0.01,0.01,0.0,0.0
14.8,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
14.3,0.00,0.00,0.0,0.0
13.1,0.00,0.00,0.0,0.0
11.9,0.00,0.00,0.0,0.0
11.0,0.00,0.00,0.0,0.0
10.9,0.00,0.00,0.0,0.0
10.8,0.00,0.00,0.0,0.0
11.2,0.00,0.00,0.0,0.0
10.6,0.00,0.00,0.0,0.0
10.3,0.00,0.00,0.0,0.0
9.2,0.00,0.00,0.0,0.0
8.4,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
7.1,0.04,0.08,8.5,-54.0
7.1,0.05,0.19,17.7,-43.3
7.0,0.04,0.28,25.0,-30.7
6.3,0.01,0.28,29.9,-16.1
5.6,0.00,0.23,31.6,-0.1
5.2,0.02,0.21,29.9,15.9
4.7,0.02,0.23,25.1,30.5
4.2,0.06,0.20,17.8,43.2
3.7,0.07,0.10,8.7,53.9
3.3,0.01,0.01,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
0.9,0.01,0.01,0.0,0.0
1.2,0.17,0.13,8.5,-54.2
3.6,0.88,0.39,17.7,-43.5
3.8,0.24,0.49,25.1,-30.9
3.4,0.16,0.54,30.0,-16.3
4.8,1.69,0.64,31.7,-0.2
5.4,0.65,0.70,30.1,15.8
5.3,0.86,0.58,25.3,30.5
5.6,1.60,0.35,17.9,43.2
5.1,0.70,0.18,8.8,53.9
2.4,0.01,0.01,0.0,0.0
0.5,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-0.7,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
