áWbëÂí√ (551),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
2.7,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.7,0.01,0.01,0.0,0.0
1.7,0.49,0.18,8.8,-53.7
2.5,1.09,0.39,18.0,-43.1
3.9,2.64,0.32,25.4,-30.6
5.1,2.33,0.47,30.3,-15.9
5.3,2.78,0.38,32.0,0.1
6.1,1.02,0.71,30.3,16.1
5.6,0.20,0.47,25.4,30.7
4.9,0.69,0.40,18.0,43.2
4.8,0.21,0.15,8.7,53.8
4.3,0.01,0.01,0.0,0.0
4.3,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.0,0.01,0.01,0.0,0.0
4.1,0.08,0.11,8.8,-53.9
4.3,0.07,0.23,18.0,-43.3
4.7,0.06,0.34,25.4,-30.7
4.9,0.07,0.41,30.3,-16.1
5.5,0.06,0.45,32.1,-0.1
5.8,0.07,0.42,30.4,16.0
5.5,0.06,0.34,25.5,30.6
5.4,0.06,0.23,18.1,43.2
5.3,0.08,0.11,8.9,53.8
5.3,0.01,0.01,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.6,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.3,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-1.8,0.01,0.01,0.0,0.0
-1.0,0.08,0.11,8.8,-54.0
0.2,0.06,0.23,18.0,-43.4
1.9,0.06,0.34,25.5,-30.9
2.3,0.07,0.42,30.4,-16.2
3.2,0.06,0.45,32.2,-0.2
3.7,0.06,0.42,30.5,15.9
3.9,0.07,0.34,25.6,30.6
3.9,0.08,0.24,18.2,43.2
4.2,0.05,0.09,9.0,53.8
3.9,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
5.2,0.00,0.00,0.0,0.0
5.5,0.01,0.06,8.8,-54.1
6.0,0.04,0.19,18.1,-43.6
6.7,0.04,0.26,25.5,-31.0
7.2,0.00,0.24,30.5,-16.4
7.6,0.02,0.36,32.3,-0.3
7.3,0.05,0.33,30.6,15.8
8.1,0.03,0.27,25.8,30.5
8.1,0.08,0.24,18.4,43.1
8.3,0.06,0.11,9.2,53.8
8.7,0.01,0.01,0.0,0.0
8.1,0.00,0.00,0.0,0.0
8.8,0.00,0.00,0.0,0.0
8.5,0.00,0.00,0.0,0.0
8.3,0.00,0.00,0.0,0.0
7.9,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
6.0,0.00,0.00,0.0,0.0
4.7,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
5.9,0.00,0.00,0.0,0.0
5.9,0.01,0.01,0.0,0.0
6.0,0.31,0.16,8.8,-54.3
5.8,0.59,0.40,18.1,-43.7
7.2,2.08,0.43,25.6,-31.2
7.4,2.86,0.34,30.6,-16.5
7.8,2.51,0.45,32.4,-0.4
8.4,2.86,0.34,30.7,15.7
8.5,2.35,0.38,25.9,30.5
7.6,2.36,0.26,18.5,43.1
6.8,1.44,0.18,9.3,53.8
5.7,0.01,0.02,0.0,0.0
5.2,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
1.9,0.01,0.02,0.0,0.0
1.8,1.57,0.16,8.8,-54.5
2.6,2.32,0.26,18.1,-43.9
3.5,2.31,0.39,25.6,-31.3
4.3,1.08,0.71,30.6,-16.7
1.9,1.73,0.65,32.5,-0.6
4.2,2.06,0.54,30.9,15.6
4.3,2.05,0.45,26.0,30.4
3.6,0.44,0.40,18.7,43.1
2.9,0.29,0.17,9.5,53.8
2.9,0.01,0.02,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
-0.4,0.00,0.00,0.0,0.0
1.1,0.01,0.01,0.0,0.0
2.3,0.10,0.11,8.8,-54.6
3.6,0.09,0.25,18.1,-44.1
5.3,0.09,0.38,25.7,-31.5
6.6,0.25,0.62,30.7,-16.8
8.2,0.09,0.49,32.6,-0.7
8.0,0.24,0.62,31.0,15.5
9.1,0.94,0.61,26.2,30.4
8.5,0.09,0.27,18.8,43.1
8.0,0.09,0.12,9.6,53.8
7.6,0.01,0.01,0.0,0.0
7.5,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
5.2,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.5,0.01,0.02,0.0,0.0
3.5,1.56,0.16,8.8,-54.8
5.7,2.47,0.24,18.2,-44.2
8.1,2.87,0.27,25.7,-31.7
8.6,3.01,0.30,30.8,-17.0
9.5,3.05,0.31,32.7,-0.8
10.6,3.00,0.31,31.2,15.5
11.0,2.90,0.27,26.4,30.3
11.6,2.48,0.25,19.0,43.1
10.9,1.27,0.19,9.8,53.8
10.1,0.04,0.03,0.0,0.0
7.5,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
1.6,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
0.5,0.01,0.01,0.0,0.0
0.9,0.31,0.16,8.8,-54.9
2.7,1.58,0.36,18.2,-44.4
4.5,1.11,0.59,25.8,-31.8
5.9,1.71,0.62,30.9,-17.1
7.0,2.84,0.37,32.9,-0.9
8.2,2.81,0.36,31.3,15.4
14.8,2.67,0.33,26.5,30.3
14.9,2.04,0.32,19.2,43.1
14.7,0.76,0.21,10.0,53.9
13.8,0.04,0.03,0.0,0.0
12.6,0.00,0.00,0.0,0.0
12.5,0.00,0.00,0.0,0.0
12.5,0.00,0.00,0.0,0.0
12.4,0.00,0.00,0.0,0.0
12.2,0.00,0.00,0.0,0.0
12.0,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
6.8,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
5.3,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.0,0.01,0.01,0.0,0.0
3.9,0.10,0.12,8.9,-55.1
3.7,0.29,0.36,18.3,-44.6
4.3,0.25,0.52,25.9,-32.0
5.0,0.41,0.69,31.1,-17.3
4.4,0.58,0.77,33.0,-1.0
5.3,1.00,0.74,31.5,15.3
4.7,0.09,0.42,26.7,30.3
4.4,0.11,0.29,19.3,43.1
4.0,0.10,0.14,10.1,53.9
3.9,0.01,0.02,0.0,0.0
3.0,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
0.2,0.00,0.00,0.0,0.0
0.1,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.9,0.01,0.02,0.0,0.0
0.8,1.17,0.18,8.9,-55.3
2.1,1.80,0.33,18.3,-44.7
4.1,1.09,0.59,26.0,-32.2
4.3,0.26,0.64,31.2,-17.4
5.8,0.16,0.61,33.2,-1.1
5.3,0.16,0.59,31.6,15.3
5.5,0.87,0.63,26.9,30.3
6.3,1.53,0.39,19.5,43.1
5.5,0.28,0.19,10.3,53.9
4.8,0.01,0.02,0.0,0.0
3.7,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
2.8,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
2.9,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.8,0.01,0.01,0.0,0.0
1.9,1.32,0.17,9.0,-55.5
3.2,2.17,0.29,18.4,-44.9
4.7,2.56,0.34,26.1,-32.3
5.0,0.39,0.69,31.3,-17.6
5.4,0.39,0.74,33.3,-1.3
6.4,0.95,0.75,31.8,15.2
6.8,0.39,0.59,27.1,30.3
6.3,0.19,0.35,19.7,43.2
6.2,0.19,0.18,10.5,54.0
6.3,0.04,0.03,0.0,0.0
5.7,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.4,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
