áWbçÅèZ (569),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
5.2,0.00,0.00,0.0,0.0
4.7,0.00,0.00,0.0,0.0
4.7,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.4,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
3.7,0.03,0.07,7.6,-54.5
3.4,0.01,0.12,16.8,-44.0
3.6,0.03,0.24,24.3,-31.6
4.7,0.13,0.49,29.4,-17.2
5.7,0.45,0.71,31.3,-1.3
6.1,0.33,0.64,29.9,14.6
5.4,0.04,0.31,25.3,29.4
5.1,0.03,0.18,18.2,42.1
4.2,0.04,0.08,9.2,52.9
4.4,0.01,0.01,0.0,0.0
4.4,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
4.9,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
7.1,0.07,0.09,7.6,-54.6
6.6,0.05,0.21,16.8,-44.1
7.6,0.08,0.34,24.3,-31.7
5.8,0.12,0.48,29.4,-17.3
6.3,0.54,0.73,31.4,-1.4
5.4,0.01,0.29,30.0,14.5
5.3,0.02,0.24,25.5,29.3
5.0,0.03,0.18,18.3,42.0
4.5,0.03,0.09,9.3,52.9
4.3,0.01,0.01,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.0,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
1.8,0.01,0.01,0.0,0.0
