áTbä‚å©ëÚ (59)-A4,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-6.9,0,0,0,0
-6.7,0,0,0,0
-6.9,0,0,0,0
-6.9,0,0,0,0
-5.4,0,0,0,0
-5.6,0,0,0,0
-6.6,0.01,0.01,0,0
-6.8,0.18,0.12,7.2,-48.7
-6.7,0.13,0.24,14.7,-36.8
-8.1,0.14,0.35,20.2,-23.6
-8.8,0.21,0.47,23.2,-9.1
-8.6,0.65,0.58,23.5,6
-8.2,2.11,0.41,21,20.6
-8.3,2.53,0.25,16,34.2
-9.2,1.49,0.19,8.9,46.3
-11,0.01,0.02,0.3,57.2
-11.9,0,0,0,0
-13.5,0,0,0,0
-13,0,0,0,0
-13.7,0,0,0,0
-13.1,0,0,0,0
-13.9,0,0,0,0
-13.8,0,0,0,0
-13.8,0,0,0,0
-14.3,0,0,0,0
-13.8,0,0,0,0
-13.3,0,0,0,0
-14,0,0,0,0
-13.2,0,0,0,0
-12.6,0,0,0,0
-12.6,0.01,0.01,0,0
-12.7,0.3,0.14,7.2,-48.8
-12.5,2.44,0.24,14.7,-37
-11.4,2.98,0.25,20.2,-23.7
-9.7,1.44,0.55,23.3,-9.2
-11.5,0.9,0.59,23.6,5.8
-8.2,1.77,0.46,21.1,20.5
-7.9,2.62,0.24,16.1,34.1
-8.5,0.79,0.21,9,46.3
-10.2,0.04,0.03,0.5,57.2
-10.1,0,0,0,0
-8.2,0,0,0,0
-7.6,0,0,0,0
-4.3,0,0,0,0
-3.5,0,0,0,0
-3.7,0,0,0,0
-3.2,0,0,0,0
-2.6,0,0,0,0
-2.4,0,0,0,0
-2,0,0,0,0
-1.9,0,0,0,0
-2.5,0,0,0,0
-1.8,0,0,0,0
-1.1,0,0,0,0
-0.9,0.01,0.01,0,0
-0.9,0.12,0.11,7.2,-49
-0.2,1,0.35,14.7,-37.1
1.1,0.52,0.48,20.3,-23.8
1.9,0.17,0.45,23.4,-9.3
2.2,0.1,0.39,23.7,5.7
2.8,0.11,0.34,21.3,20.5
2.5,0.08,0.23,16.2,34.1
1.5,0.08,0.12,9.2,46.3
2,0.01,0.02,0.6,57.1
2.3,0,0,0,0
2.3,0,0,0,0
2.8,0,0,0,0
3.1,0,0,0,0
2.8,0,0,0,0
2.2,0,0,0,0
1.9,0,0,0,0
1.5,0,0,0,0
1.3,0,0,0,0
1.6,0,0,0,0
1.6,0,0,0,0
1.3,0,0,0,0
0.5,0,0,0,0
0.7,0,0,0,0
0.6,0.01,0.01,0,0
0.8,0.17,0.12,7.3,-49.1
1.3,0.15,0.26,14.8,-37.3
1.5,0.13,0.36,20.3,-24
2.4,0.66,0.58,23.5,-9.5
1.4,0.67,0.59,23.8,5.6
2.2,2.54,0.35,21.4,20.4
1.6,1.07,0.4,16.4,34
1.4,0.14,0.15,9.3,46.2
0.9,0.04,0.03,0.8,57.1
0.6,0,0,0,0
-0.2,0,0,0,0
-0.1,0,0,0,0
-0.4,0,0,0,0
-0.4,0,0,0,0
-0.3,0,0,0,0
-1,0,0,0,0
-1.6,0,0,0,0
-2,0,0,0,0
-2.5,0,0,0,0
-2.2,0,0,0,0
-2,0,0,0,0
-1.4,0,0,0,0
-2.9,0,0,0,0
-3.6,0.01,0.01,0,0
-3.3,0.64,0.17,7.3,-49.3
-3.3,1.34,0.34,14.8,-37.4
0.1,0.34,0.45,20.4,-24.1
-1.1,0.08,0.37,23.6,-9.6
-1,0.13,0.42,24,5.5
-0.6,0.13,0.37,21.5,20.3
-0.9,0.52,0.39,16.5,34
-0.9,0.29,0.19,9.5,46.2
-0.9,0.04,0.03,0.9,57.1
-2.1,0,0,0,0
-2.7,0,0,0,0
-3.6,0,0,0,0
-4.1,0,0,0,0
-4.6,0,0,0,0
-5.5,0,0,0,0
-5.9,0,0,0,0
-7.3,0,0,0,0
-8,0,0,0,0
-5.1,0,0,0,0
-3.7,0,0,0,0
-4.4,0,0,0,0
-5.6,0,0,0,0
-5.4,0,0,0,0
-6.4,0.01,0.02,0,0
-6.9,1.93,0.15,7.3,-49.4
-4.7,2.53,0.23,14.8,-37.6
-2.7,3.07,0.24,20.5,-24.3
-2.1,3.26,0.25,23.7,-9.7
-1.7,3.29,0.25,24.1,5.4
-1.5,3.15,0.24,21.7,20.2
-1.4,2.74,0.24,16.7,33.9
-1.4,1.21,0.22,9.6,46.2
-2.9,0.09,0.04,1.1,57.1
-2.3,0,0,0,0
-4.4,0,0,0,0
-4.3,0,0,0,0
-4,0,0,0,0
-3.7,0,0,0,0
-4.6,0,0,0,0
-3.5,0,0,0,0
-3.8,0,0,0,0
-4.3,0,0,0,0
-4.2,0,0,0,0
-4,0,0,0,0
-3.6,0,0,0,0
-3.2,0,0,0,0
-2.3,0,0,0,0
-2.3,0.01,0.01,0,0
-2.6,0.06,0.08,7.4,-49.6
-2.2,0.04,0.19,14.9,-37.7
-1.6,0.08,0.29,20.6,-24.4
-1.3,0.09,0.35,23.8,-9.8
-0.7,0.14,0.44,24.2,5.3
-1.6,0.07,0.32,21.8,20.2
-2,0.06,0.22,16.8,33.9
-2.4,0.04,0.11,9.8,46.2
-2.9,0.01,0.02,1.2,57.1
-3.2,0,0,0,0
-3.6,0,0,0,0
-3.7,0,0,0,0
-4,0,0,0,0
-4.8,0,0,0,0
-4.8,0,0,0,0
-4.2,0,0,0,0
-4.6,0,0,0,0
-4.2,0,0,0,0
-4.3,0,0,0,0
-3.9,0,0,0,0
-4.4,0,0,0,0
-4.6,0,0,0,0
-4.3,0,0,0,0
-5.1,0.01,0.01,0,0
-4.3,0.94,0.17,7.4,-49.7
-3.7,2.26,0.26,15,-37.9
-2.4,2.72,0.31,20.6,-24.6
-1.2,0.81,0.61,23.9,-10
-0.9,0.21,0.48,24.3,5.2
-0.2,0.21,0.44,21.9,20.1
-0.2,0.3,0.35,17,33.9
0.5,0.78,0.23,9.9,46.2
-0.8,0.52,0.07,1.4,57.1
-2,0,0,0,0
-2.2,0,0,0,0
-3,0,0,0,0
-2.6,0,0,0,0
-3.3,0,0,0,0
