áTbä‚å©ëÚ (59),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-6.9,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-6.9,0.00,0.00,0.0,0.0
-5.4,0.00,0.00,0.0,0.0
-5.6,0.00,0.00,0.0,0.0
-6.6,0.01,0.01,0.0,0.0
-6.8,0.16,0.11,7.2,-48.7
-6.7,0.12,0.22,14.7,-36.8
-8.1,0.13,0.32,20.2,-23.6
-8.8,0.19,0.43,23.2,-9.1
-8.6,0.59,0.53,23.5,6.0
-8.2,1.92,0.37,21.0,20.6
-8.3,2.30,0.23,16.0,34.2
-9.2,1.35,0.17,8.9,46.3
-11.0,0.01,0.02,0.3,57.2
-11.9,0.00,0.00,0.0,0.0
-13.5,0.00,0.00,0.0,0.0
-13.0,0.00,0.00,0.0,0.0
-13.7,0.00,0.00,0.0,0.0
-13.1,0.00,0.00,0.0,0.0
-13.9,0.00,0.00,0.0,0.0
-13.8,0.00,0.00,0.0,0.0
-13.8,0.00,0.00,0.0,0.0
-14.3,0.00,0.00,0.0,0.0
-13.8,0.00,0.00,0.0,0.0
-13.3,0.00,0.00,0.0,0.0
-14.0,0.00,0.00,0.0,0.0
-13.2,0.00,0.00,0.0,0.0
-12.6,0.00,0.00,0.0,0.0
-12.6,0.01,0.01,0.0,0.0
-12.7,0.27,0.13,7.2,-48.8
-12.5,2.22,0.22,14.7,-37.0
-11.4,2.71,0.23,20.2,-23.7
-9.7,1.31,0.50,23.3,-9.2
-11.5,0.82,0.54,23.6,5.8
-8.2,1.61,0.42,21.1,20.5
-7.9,2.38,0.22,16.1,34.1
-8.5,0.72,0.19,9.0,46.3
-10.2,0.04,0.03,0.5,57.2
-10.1,0.00,0.00,0.0,0.0
-8.2,0.00,0.00,0.0,0.0
-7.6,0.00,0.00,0.0,0.0
-4.3,0.00,0.00,0.0,0.0
-3.5,0.00,0.00,0.0,0.0
-3.7,0.00,0.00,0.0,0.0
-3.2,0.00,0.00,0.0,0.0
-2.6,0.00,0.00,0.0,0.0
-2.4,0.00,0.00,0.0,0.0
-2.0,0.00,0.00,0.0,0.0
-1.9,0.00,0.00,0.0,0.0
-2.5,0.00,0.00,0.0,0.0
-1.8,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-0.9,0.01,0.01,0.0,0.0
-0.9,0.11,0.10,7.2,-49.0
