áWaïóâÆ (593),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
6.6,0.00,0.00,0.0,0.0
6.4,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
7.4,0.00,0.00,0.0,0.0
7.5,0.01,0.01,0.0,0.0
7.2,0.08,0.12,9.3,-53.9
7.2,0.06,0.24,18.6,-43.4
6.9,0.04,0.33,26.2,-30.9
6.1,0.04,0.39,31.2,-16.2
6.1,0.06,0.40,32.9,-0.1
6.2,0.09,0.46,31.2,16.1
5.7,0.26,0.53,26.2,30.8
5.5,0.36,0.39,18.7,43.3
4.8,0.21,0.16,9.4,53.8
4.2,0.01,0.01,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
1.9,0.00,0.00,0.0,0.0
2.2,0.00,0.00,0.0,0.0
1.4,0.00,0.00,0.0,0.0
2.2,0.01,0.01,0.0,0.0
1.9,0.07,0.11,9.3,-54.1
2.5,0.05,0.21,18.6,-43.6
3.4,0.04,0.29,26.2,-31.1
4.0,0.03,0.35,31.2,-16.4
4.0,0.03,0.37,33.0,-0.2
4.0,0.02,0.35,31.3,16.0
4.2,0.03,0.30,26.4,30.7
4.3,0.04,0.22,18.9,43.3
4.2,0.07,0.11,9.5,53.8
3.6,0.01,0.01,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
4.3,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
8.5,0.00,0.00,0.0,0.0
11.0,0.00,0.00,0.0,0.0
13.1,0.00,0.00,0.0,0.0
13.7,0.01,0.01,0.0,0.0
13.2,0.08,0.12,9.3,-54.2
13.4,0.06,0.23,18.7,-43.7
13.6,0.04,0.32,26.2,-31.2
13.6,0.05,0.36,31.3,-16.5
13.5,0.04,0.39,33.1,-0.3
13.1,0.06,0.44,31.4,15.9
13.3,0.14,0.46,26.5,30.7
12.6,0.14,0.30,19.0,43.3
12.1,0.10,0.13,9.7,53.8
11.4,0.01,0.01,0.0,0.0
11.2,0.00,0.00,0.0,0.0
11.0,0.00,0.00,0.0,0.0
10.5,0.00,0.00,0.0,0.0
9.3,0.00,0.00,0.0,0.0
8.9,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
7.8,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
6.6,0.00,0.00,0.0,0.0
6.3,0.00,0.00,0.0,0.0
5.9,0.00,0.00,0.0,0.0
5.7,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
5.5,0.01,0.01,0.0,0.0
5.7,0.08,0.12,9.3,-54.3
6.0,0.06,0.23,18.7,-43.9
6.9,0.06,0.31,26.3,-31.4
7.5,0.04,0.38,31.4,-16.7
8.0,0.06,0.39,33.2,-0.5
8.3,0.07,0.44,31.5,15.8
8.4,0.21,0.51,26.6,30.6
8.3,0.16,0.33,19.1,43.3
8.0,0.10,0.13,9.8,53.8
7.3,0.01,0.01,0.0,0.0
7.0,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.9,0.00,0.00,0.0,0.0
3.8,0.01,0.01,0.0,0.0
3.8,0.06,0.11,9.3,-54.5
4.1,0.04,0.22,18.7,-44.0
4.5,0.03,0.30,26.3,-31.5
4.8,0.05,0.34,31.4,-16.8
5.4,0.04,0.36,33.3,-0.6
3.8,0.02,0.29,31.7,15.7
2.5,0.01,0.20,26.8,30.6
2.1,0.02,0.17,19.3,43.2
1.6,0.06,0.11,10.0,53.8
0.7,0.01,0.01,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.3,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.6,0.00,0.00,0.0,0.0
0.9,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
1.1,0.00,0.00,0.0,0.0
1.2,0.00,0.00,0.0,0.0
2.3,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
3.7,0.00,0.00,0.0,0.0
2.7,0.01,0.01,0.0,0.0
4.1,0.07,0.11,9.3,-54.7
4.9,0.04,0.22,18.7,-44.2
5.0,0.05,0.30,26.4,-31.7
5.2,0.05,0.35,31.5,-17.0
7.5,0.04,0.38,33.4,-0.7
7.9,0.03,0.36,31.8,15.6
8.1,0.10,0.43,26.9,30.5
8.1,0.07,0.27,19.4,43.2
7.9,0.06,0.12,10.1,53.8
7.5,0.01,0.01,0.0,0.0
6.8,0.00,0.00,0.0,0.0
