áTbê_åbì‡ (63),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-3.4,0.00,0.00,0.0,0.0
-3.9,0.00,0.00,0.0,0.0
-5.7,0.00,0.00,0.0,0.0
-6.0,0.00,0.00,0.0,0.0
-6.0,0.00,0.00,0.0,0.0
-6.2,0.00,0.00,0.0,0.0
-6.6,0.00,0.00,0.0,0.0
-5.1,0.09,0.08,6.5,-49.7
-6.0,0.04,0.16,14.1,-38.0
-6.0,0.04,0.24,19.8,-24.8
-6.3,0.04,0.28,23.1,-10.4
-6.0,0.04,0.24,23.7,4.6
-6.2,0.08,0.30,21.4,19.3
-6.3,0.04,0.19,16.6,33.0
-6.1,0.07,0.12,9.7,45.3
-6.5,0.01,0.02,1.2,56.2
-7.1,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-6.5,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-6.7,0.00,0.00,0.0,0.0
-7.6,0.00,0.00,0.0,0.0
-7.3,0.00,0.00,0.0,0.0
-6.8,0.00,0.00,0.0,0.0
-6.6,0.00,0.00,0.0,0.0
-6.3,0.00,0.00,0.0,0.0
-5.9,0.00,0.00,0.0,0.0
-7.0,0.00,0.00,0.0,0.0
-5.5,0.00,0.00,0.0,0.0
-5.3,0.00,0.00,0.0,0.0
-4.6,0.00,0.00,0.0,0.0
-4.5,0.09,0.08,6.5,-49.8
-5.1,0.08,0.18,14.1,-38.1
-2.9,0.13,0.33,19.9,-25.0
-3.4,0.13,0.38,23.2,-10.6
-3.3,0.08,0.32,23.8,4.5
-2.0,0.07,0.28,21.5,19.3
-1.9,0.08,0.22,16.7,33.0
-1.5,0.07,0.12,9.8,45.3
-1.5,0.01,0.02,1.3,56.2
-1.2,0.00,0.00,0.0,0.0
-0.2,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
1.0,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
2.1,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
3.0,0.00,0.00,0.0,0.0
3.1,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.1,0.06,0.07,6.5,-50.0
3.6,0.06,0.17,14.2,-38.3
3.6,0.07,0.25,19.9,-25.1
3.7,0.07,0.30,23.3,-10.7
3.0,0.06,0.31,23.9,4.4
3.0,0.08,0.28,21.7,19.2
3.3,0.07,0.21,16.8,32.9
2.8,0.06,0.12,9.9,45.2
3.2,0.01,0.02,1.5,56.2
3.4,0.00,0.00,0.0,0.0
4.1,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.3,0.00,0.00,0.0,0.0
1.8,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.5,0.00,0.00,0.0,0.0
1.7,0.00,0.00,0.0,0.0
1.4,0.14,0.09,6.6,-50.1
2.1,0.12,0.21,14.2,-38.4
2.3,0.30,0.40,20.0,-25.3
3.3,2.38,0.34,23.4,-10.8
3.4,0.60,0.55,24.0,4.3
3.2,0.30,0.44,21.8,19.1
2.0,0.12,0.26,17.0,32.8
2.4,0.12,0.15,10.1,45.2
1.9,0.04,0.03,1.6,56.2
0.8,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
0.5,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
0.0,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-1.0,0.00,0.00,0.0,0.0
-0.3,0.00,0.00,0.0,0.0
-1.2,0.00,0.00,0.0,0.0
-0.8,0.00,0.00,0.0,0.0
-1.1,0.00,0.00,0.0,0.0
-0.5,0.00,0.00,0.0,0.0
0.7,0.00,0.00,0.0,0.0
-0.1,0.00,0.00,0.0,0.0
-0.4,0.11,0.09,6.6,-50.3
0.2,0.09,0.20,14.2,-38.6
0.7,0.10,0.29,20.0,-25.4
1.1,0.09,0.34,23.5,-11.0
1.2,0.15,0.42,24.1,4.2
1.5,0.68,0.50,21.9,19.0
1.1,0.40,0.35,17.1,32.8
1.0,0.09,0.13,10.2,45.2
-0.2,0.04,0.03,1.8,56.2
-1.2,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-1.7,0.00,0.00,0.0,0.0
-1.5,0.00,0.00,0.0,0.0
0.4,0.00,0.00,0.0,0.0
