áXñ˚í√ (797),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
9.0,0.00,0.00,0.0,0.0
9.7,0.00,0.00,0.0,0.0
10.3,0.00,0.00,0.0,0.0
11.2,0.00,0.00,0.0,0.0
11.1,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
12.1,0.17,0.12,7.7,-56.9
12.5,0.20,0.32,17.8,-47.2
13.8,0.64,0.61,26.2,-35.5
17.2,1.63,0.67,32.3,-21.3
17.8,1.33,0.79,35.2,-5.0
17.3,0.13,0.60,34.5,11.8
18.5,1.28,0.68,30.2,27.3
17.5,0.23,0.44,23.0,40.6
17.6,0.16,0.22,13.8,51.4
17.4,0.19,0.05,3.2,60.4
15.9,0.00,0.00,0.0,0.0
15.2,0.00,0.00,0.0,0.0
14.7,0.00,0.00,0.0,0.0
14.0,0.00,0.00,0.0,0.0
13.7,0.00,0.00,0.0,0.0
13.5,0.00,0.00,0.0,0.0
13.5,0.00,0.00,0.0,0.0
13.3,0.00,0.00,0.0,0.0
13.4,0.00,0.00,0.0,0.0
13.3,0.00,0.00,0.0,0.0
13.3,0.00,0.00,0.0,0.0
13.9,0.00,0.00,0.0,0.0
14.1,0.00,0.00,0.0,0.0
13.8,0.01,0.01,0.0,0.0
13.0,0.40,0.15,7.6,-57.0
12.7,0.60,0.39,17.8,-47.4
13.0,2.35,0.39,26.2,-35.6
13.5,2.48,0.46,32.4,-21.4
13.9,2.91,0.38,35.3,-5.1
14.1,2.86,0.39,34.6,11.7
13.8,2.80,0.35,30.3,27.3
13.9,2.53,0.31,23.1,40.5
13.2,1.81,0.24,13.9,51.4
11.8,0.82,0.06,3.4,60.4
10.6,0.00,0.00,0.0,0.0
10.0,0.00,0.00,0.0,0.0
9.6,0.00,0.00,0.0,0.0
9.1,0.00,0.00,0.0,0.0
8.7,0.00,0.00,0.0,0.0
8.2,0.00,0.00,0.0,0.0
7.6,0.00,0.00,0.0,0.0
7.0,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
5.5,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
5.9,0.64,0.15,7.6,-57.2
7.3,1.97,0.30,17.7,-47.5
7.4,0.46,0.58,26.3,-35.8
8.6,0.23,0.64,32.4,-21.6
9.6,0.23,0.71,35.4,-5.3
10.7,1.99,0.64,34.7,11.6
10.9,1.97,0.55,30.4,27.2
11.5,2.49,0.31,23.3,40.5
11.3,1.83,0.25,14.1,51.4
10.0,0.74,0.06,3.5,60.4
8.8,0.00,0.00,0.0,0.0
7.7,0.00,0.00,0.0,0.0
7.0,0.00,0.00,0.0,0.0
7.0,0.00,0.00,0.0,0.0
6.5,0.00,0.00,0.0,0.0
5.7,0.00,0.00,0.0,0.0
5.1,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.8,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.4,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.6,0.58,0.15,7.6,-57.3
5.2,2.30,0.26,17.7,-47.7
9.6,2.78,0.30,26.3,-35.9
10.5,2.09,0.57,32.5,-21.7
12.0,2.98,0.36,35.5,-5.4
12.6,2.96,0.36,34.8,11.5
12.8,2.86,0.34,30.6,27.1
12.7,2.31,0.35,23.4,40.5
10.3,0.36,0.28,14.2,51.4
9.0,0.37,0.07,3.6,60.4
8.0,0.00,0.00,0.0,0.0
7.5,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
7.3,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
7.2,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
7.1,0.00,0.00,0.0,0.0
6.8,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.7,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
6.2,0.00,0.00,0.0,0.0
5.8,0.00,0.00,0.0,0.0
5.9,0.16,0.12,7.6,-57.5
6.1,0.15,0.29,17.8,-47.8
6.2,0.14,0.46,26.3,-36.1
6.9,0.15,0.58,32.5,-21.9
8.3,0.15,0.63,35.6,-5.6
8.5,0.33,0.76,34.9,11.4
9.1,2.56,0.41,30.7,27.1
10.2,1.07,0.53,23.6,40.4
8.7,1.73,0.26,14.4,51.4
7.1,0.75,0.07,3.8,60.4
6.1,0.00,0.00,0.0,0.0
5.6,0.00,0.00,0.0,0.0
5.0,0.00,0.00,0.0,0.0
4.4,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
4.5,0.00,0.00,0.0,0.0
4.4,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.5,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
3.6,0.00,0.00,0.0,0.0
3.9,0.01,0.01,0.0,0.0
3.5,0.88,0.15,7.6,-57.6
5.0,2.49,0.23,17.8,-48.0
6.8,2.94,0.26,26.4,-36.3
7.9,3.12,0.29,32.6,-22.0
9.4,3.14,0.32,35.7,-5.7
10.0,3.12,0.32,35.1,11.3
10.8,3.02,0.30,30.8,27.0
11.2,2.80,0.27,23.7,40.4
10.5,2.14,0.22,14.5,51.4
9.1,1.10,0.07,3.9,60.5
8.1,0.00,0.00,0.0,0.0
7.0,0.00,0.00,0.0,0.0
6.1,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
5.1,0.00,0.00,0.0,0.0
4.6,0.00,0.00,0.0,0.0
4.7,0.00,0.00,0.0,0.0
3.8,0.00,0.00,0.0,0.0
3.2,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
2.6,0.00,0.00,0.0,0.0
2.7,0.00,0.00,0.0,0.0
2.4,0.00,0.00,0.0,0.0
2.5,0.00,0.00,0.0,0.0
3.4,0.12,0.10,7.6,-57.8
4.2,0.10,0.26,17.8,-48.2
7.8,1.50,0.55,26.4,-36.4
9.5,0.39,0.73,32.7,-22.2
10.5,0.26,0.74,35.8,-5.8
11.0,0.10,0.55,35.2,11.2
10.9,0.15,0.56,31.0,27.0
11.2,0.10,0.36,23.9,40.4
11.2,0.11,0.21,14.7,51.4
10.8,0.11,0.05,4.1,60.5
10.4,0.00,0.00,0.0,0.0
10.0,0.00,0.00,0.0,0.0
10.2,0.00,0.00,0.0,0.0
10.6,0.00,0.00,0.0,0.0
9.9,0.00,0.00,0.0,0.0
11.7,0.00,0.00,0.0,0.0
9.0,0.00,0.00,0.0,0.0
11.2,0.00,0.00,0.0,0.0
12.3,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
10.8,0.00,0.00,0.0,0.0
9.8,0.00,0.00,0.0,0.0
8.7,0.00,0.00,0.0,0.0
7.5,0.00,0.00,0.0,0.0
6.5,0.28,0.13,7.6,-58.0
6.4,2.06,0.29,17.8,-48.3
7.4,1.77,0.51,26.5,-36.6
7.6,0.49,0.75,32.8,-22.4
8.3,0.24,0.73,35.9,-6.0
8.4,0.50,0.82,35.3,11.1
8.8,0.68,0.74,31.2,26.9
9.2,0.71,0.55,24.1,40.4
8.0,0.17,0.25,14.9,51.4
7.0,0.18,0.07,4.3,60.5
6.1,0.00,0.00,0.0,0.0
5.4,0.00,0.00,0.0,0.0
5.2,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
3.3,0.00,0.00,0.0,0.0
4.2,0.00,0.00,0.0,0.0
4.0,0.00,0.00,0.0,0.0
