áXâÆãvìá (819)-A2,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
12.3,0,0,0,0
12.7,0,0,0,0
11.7,0,0,0,0
12.1,0,0,0,0
11.7,0,0,0,0
12,0,0,0,0
11.3,0,0,0,0
11.8,0.06,0.08,7.8,-57.5
12.5,0.04,0.19,18.1,-48.1
13,0.04,0.27,26.8,-36.5
12.8,0.02,0.33,33.2,-22.3
13.6,0.01,0.36,36.4,-5.9
14.2,0.04,0.35,35.8,11.1
14.6,0.04,0.31,31.5,26.9
14.8,0.04,0.24,24.3,40.3
14.8,0.05,0.15,15.1,51.2
14.8,0.07,0.05,4.4,60
14.9,0,0,0,0
15,0,0,0,0
14.9,0,0,0,0
14.6,0,0,0,0
14.6,0,0,0,0
14.5,0,0,0,0
13.5,0,0,0,0
12.8,0,0,0,0
12.1,0,0,0,0
11.8,0,0,0,0
11.3,0,0,0,0
11.9,0,0,0,0
11.8,0,0,0,0
11.7,0,0,0,0
12.4,0.14,0.11,7.7,-57.6
13.1,0.28,0.32,18.1,-48.2
13.9,0.46,0.55,26.8,-36.6
15.4,1.11,0.68,33.2,-22.5
15,0.45,0.77,36.4,-6.1
13.2,0.04,0.32,35.9,11
12,0,0.21,31.7,26.9
12.2,0.01,0.15,24.5,40.3
12.4,0.02,0.1,15.2,51.1
11.1,0.03,0.04,4.5,60
11.7,0,0,0,0
10.2,0,0,0,0
11.3,0,0,0,0
11.5,0,0,0,0
11.3,0,0,0,0
12.3,0,0,0,0
12.2,0,0,0,0
12,0,0,0,0
12,0,0,0,0
11.9,0,0,0,0
11.8,0,0,0,0
11.9,0,0,0,0
11.5,0,0,0,0
11.5,0,0,0,0
11.7,0.5,0.14,7.7,-57.8
11.9,1.29,0.33,18.1,-48.3
12.5,2.11,0.36,26.8,-36.8
13,2.24,0.43,33.3,-22.6
13.1,2.28,0.46,36.5,-6.2
13,2.28,0.45,36,10.9
13,2.21,0.41,31.8,26.8
13.1,2.02,0.35,24.6,40.2
12.4,1.51,0.26,15.3,51.1
12.2,0.24,0.07,4.7,60.1
12.3,0,0,0,0
12.3,0,0,0,0
11.8,0,0,0,0
10.5,0,0,0,0
9.9,0,0,0,0
11.5,0,0,0,0
13,0,0,0,0
13,0,0,0,0
12.8,0,0,0,0
12.6,0,0,0,0
12.7,0,0,0,0
12.5,0,0,0,0
12.4,0,0,0,0
12.6,0,0,0,0
13.3,0.07,0.08,7.7,-57.9
13.1,0.04,0.19,18.1,-48.5
14.6,0.04,0.27,26.9,-36.9
15.2,0.05,0.39,33.3,-22.8
15.7,0.02,0.37,36.6,-6.4
15.1,0.03,0.35,36.1,10.8
15.5,0.04,0.32,31.9,26.7
15.6,0.03,0.26,24.8,40.2
15.7,0.05,0.16,15.5,51.1
15.7,0.07,0.05,4.8,60.1
15.8,0,0,0,0
16.1,0,0,0,0
