áXâÆãvìá (819),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
12.3,0.00,0.00,0.0,0.0
12.7,0.00,0.00,0.0,0.0
11.7,0.00,0.00,0.0,0.0
12.1,0.00,0.00,0.0,0.0
11.7,0.00,0.00,0.0,0.0
12.0,0.00,0.00,0.0,0.0
11.3,0.00,0.00,0.0,0.0
11.8,0.07,0.09,7.8,-57.5
12.5,0.04,0.21,18.1,-48.1
13.0,0.04,0.30,26.8,-36.5
12.8,0.02,0.37,33.2,-22.3
13.6,0.01,0.40,36.4,-5.9
14.2,0.04,0.39,35.8,11.1
14.6,0.04,0.34,31.5,26.9
14.8,0.04,0.27,24.3,40.3
14.8,0.05,0.17,15.1,51.2
14.8,0.08,0.05,4.4,60.0
14.9,0.00,0.00,0.0,0.0
15.0,0.00,0.00,0.0,0.0
14.9,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
14.5,0.00,0.00,0.0,0.0
13.5,0.00,0.00,0.0,0.0
12.8,0.00,0.00,0.0,0.0
12.1,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
11.3,0.00,0.00,0.0,0.0
11.9,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
11.7,0.00,0.00,0.0,0.0
12.4,0.16,0.12,7.7,-57.6
13.1,0.31,0.36,18.1,-48.2
13.9,0.51,0.61,26.8,-36.6
15.4,1.23,0.76,33.2,-22.5
15.0,0.50,0.85,36.4,-6.1
13.2,0.04,0.36,35.9,11.0
12.0,0.00,0.23,31.7,26.9
12.2,0.01,0.17,24.5,40.3
12.4,0.02,0.11,15.2,51.1
11.1,0.03,0.04,4.5,60.0
11.7,0.00,0.00,0.0,0.0
10.2,0.00,0.00,0.0,0.0
11.3,0.00,0.00,0.0,0.0
11.5,0.00,0.00,0.0,0.0
11.3,0.00,0.00,0.0,0.0
12.3,0.00,0.00,0.0,0.0
12.2,0.00,0.00,0.0,0.0
12.0,0.00,0.00,0.0,0.0
12.0,0.00,0.00,0.0,0.0
11.9,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
11.9,0.00,0.00,0.0,0.0
11.5,0.00,0.00,0.0,0.0
11.5,0.00,0.00,0.0,0.0
11.7,0.56,0.16,7.7,-57.8
11.9,1.43,0.37,18.1,-48.3
12.5,2.34,0.40,26.8,-36.8
13.0,2.49,0.48,33.3,-22.6
13.1,2.53,0.51,36.5,-6.2
13.0,2.53,0.50,36.0,10.9
13.0,2.45,0.46,31.8,26.8
13.1,2.24,0.39,24.6,40.2
12.4,1.68,0.29,15.3,51.1
12.2,0.27,0.08,4.7,60.1
12.3,0.00,0.00,0.0,0.0
12.3,0.00,0.00,0.0,0.0
11.8,0.00,0.00,0.0,0.0
10.5,0.00,0.00,0.0,0.0
9.9,0.00,0.00,0.0,0.0
11.5,0.00,0.00,0.0,0.0
13.0,0.00,0.00,0.0,0.0
13.0,0.00,0.00,0.0,0.0
12.8,0.00,0.00,0.0,0.0
12.6,0.00,0.00,0.0,0.0
12.7,0.00,0.00,0.0,0.0
12.5,0.00,0.00,0.0,0.0
12.4,0.00,0.00,0.0,0.0
12.6,0.00,0.00,0.0,0.0
13.3,0.08,0.09,7.7,-57.9
13.1,0.04,0.21,18.1,-48.5
14.6,0.04,0.30,26.9,-36.9
15.2,0.06,0.43,33.3,-22.8
15.7,0.02,0.41,36.6,-6.4
15.1,0.03,0.39,36.1,10.8
15.5,0.04,0.35,31.9,26.7
15.6,0.03,0.29,24.8,40.2
15.7,0.06,0.18,15.5,51.1
15.7,0.08,0.05,4.8,60.1
15.8,0.00,0.00,0.0,0.0
16.1,0.00,0.00,0.0,0.0
15.6,0.00,0.00,0.0,0.0
15.6,0.00,0.00,0.0,0.0
15.8,0.00,0.00,0.0,0.0
16.5,0.00,0.00,0.0,0.0
16.6,0.00,0.00,0.0,0.0
16.6,0.00,0.00,0.0,0.0
16.9,0.00,0.00,0.0,0.0
15.8,0.00,0.00,0.0,0.0
15.3,0.00,0.00,0.0,0.0
16.0,0.00,0.00,0.0,0.0
16.4,0.00,0.00,0.0,0.0
16.5,0.00,0.00,0.0,0.0
17.3,0.07,0.09,7.7,-58.0
16.7,0.04,0.21,18.1,-48.7
16.5,0.03,0.24,26.9,-37.1
16.3,0.03,0.22,33.4,-22.9
16.8,0.00,0.27,36.7,-6.5
16.7,0.00,0.26,36.2,10.7
17.1,0.02,0.22,32.1,26.7
16.2,0.01,0.22,24.9,40.2
16.7,0.05,0.18,15.6,51.1
17.2,0.06,0.05,4.9,60.1
17.7,0.00,0.00,0.0,0.0
16.2,0.00,0.00,0.0,0.0
17.9,0.00,0.00,0.0,0.0
16.3,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
17.1,0.00,0.00,0.0,0.0
17.3,0.00,0.00,0.0,0.0
16.3,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.3,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
16.4,0.00,0.00,0.0,0.0
16.4,0.00,0.00,0.0,0.0
15.7,0.00,0.00,0.0,0.0
15.1,0.07,0.09,7.7,-58.2
15.2,0.04,0.21,18.1,-48.8
16.1,0.03,0.30,26.9,-37.3
17.0,0.04,0.36,33.5,-23.1
16.7,0.05,0.39,36.8,-6.7
15.4,0.01,0.40,36.4,10.6
15.9,0.02,0.36,32.2,26.6
16.3,0.03,0.29,25.1,40.2
16.4,0.05,0.18,15.8,51.2
15.9,0.07,0.05,5.1,60.1
15.4,0.00,0.00,0.0,0.0
15.3,0.00,0.00,0.0,0.0
15.4,0.00,0.00,0.0,0.0
15.3,0.00,0.00,0.0,0.0
16.6,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
15.7,0.00,0.00,0.0,0.0
15.2,0.00,0.00,0.0,0.0
14.9,0.00,0.00,0.0,0.0
15.1,0.00,0.00,0.0,0.0
15.2,0.00,0.00,0.0,0.0
15.4,0.00,0.00,0.0,0.0
15.1,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
16.0,0.07,0.09,7.7,-58.4
17.4,0.06,0.21,18.1,-49.0
18.0,0.03,0.32,27.0,-37.4
18.4,0.19,0.64,33.5,-23.3
18.8,0.10,0.56,36.9,-6.8
18.6,0.04,0.33,36.5,10.5
17.1,0.03,0.23,32.4,26.6
16.7,0.02,0.23,25.2,40.2
16.8,0.05,0.19,15.9,51.2
