áYâú (826),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
17.8,0.00,0.00,0.0,0.0
18.0,0.00,0.00,0.0,0.0
18.7,0.00,0.00,0.0,0.0
18.4,0.00,0.00,0.0,0.0
17.7,0.00,0.00,0.0,0.0
18.5,0.00,0.00,0.0,0.0
18.4,0.00,0.00,0.0,0.0
18.3,0.01,0.05,7.9,-59.2
18.3,0.02,0.13,18.8,-50.6
17.8,0.01,0.20,28.3,-39.6
18.0,0.03,0.24,35.6,-25.8
18.1,0.06,0.47,39.6,-9.1
17.7,0.05,0.34,39.6,8.9
17.3,0.05,0.38,35.6,25.6
17.4,0.03,0.33,28.4,39.5
17.3,0.05,0.21,18.9,50.5
17.1,0.06,0.09,8.0,59.1
17.1,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
16.6,0.00,0.00,0.0,0.0
16.3,0.00,0.00,0.0,0.0
16.1,0.00,0.00,0.0,0.0
16.0,0.00,0.00,0.0,0.0
15.6,0.00,0.00,0.0,0.0
15.5,0.00,0.00,0.0,0.0
15.5,0.00,0.00,0.0,0.0
15.3,0.00,0.00,0.0,0.0
15.2,0.00,0.00,0.0,0.0
15.0,0.00,0.00,0.0,0.0
14.9,0.13,0.11,7.8,-59.3
16.1,0.61,0.42,18.8,-50.7
16.3,0.69,0.66,28.3,-39.8
17.0,1.29,0.81,35.6,-25.9
17.3,0.68,0.95,39.7,-9.2
16.7,0.08,0.64,39.7,8.8
15.7,0.10,0.57,35.8,25.5
16.2,0.18,0.52,28.5,39.4
15.6,0.31,0.38,19.1,50.4
15.3,0.12,0.11,8.1,59.1
15.0,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
15.1,0.00,0.00,0.0,0.0
14.5,0.00,0.00,0.0,0.0
14.5,0.00,0.00,0.0,0.0
14.4,0.00,0.00,0.0,0.0
14.0,0.00,0.00,0.0,0.0
14.0,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.7,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.5,0.00,0.00,0.0,0.0
13.2,0.00,0.00,0.0,0.0
13.4,0.22,0.13,7.8,-59.5
14.0,0.20,0.33,18.8,-50.8
14.0,0.26,0.57,28.3,-39.9
14.8,0.23,0.71,35.6,-26.1
14.3,0.30,0.86,39.8,-9.4
14.6,0.70,0.96,39.8,8.6
15.2,1.31,0.81,35.9,25.4
14.9,0.60,0.66,28.7,39.4
14.1,0.08,0.27,19.2,50.4
13.8,0.12,0.11,8.3,59.1
13.5,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.9,0.00,0.00,0.0,0.0
13.5,0.00,0.00,0.0,0.0
13.7,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.9,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.8,0.00,0.00,0.0,0.0
13.9,0.00,0.00,0.0,0.0
13.6,0.00,0.00,0.0,0.0
13.3,0.00,0.00,0.0,0.0
14.0,0.00,0.00,0.0,0.0
14.2,0.00,0.00,0.0,0.0
14.6,0.16,0.12,7.7,-59.6
15.3,0.12,0.29,18.8,-51.0
15.3,0.08,0.39,28.3,-40.1
15.8,0.08,0.49,35.7,-26.3
16.4,0.09,0.64,39.8,-9.5
17.0,0.21,0.79,40.0,8.5
17.5,1.05,0.85,36.0,25.4
18.1,1.23,0.65,28.8,39.4
17.0,0.72,0.43,19.4,50.4
16.5,0.32,0.15,8.4,59.2
15.6,0.00,0.00,0.0,0.0
15.5,0.00,0.00,0.0,0.0
15.8,0.00,0.00,0.0,0.0
15.9,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
16.4,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.1,0.00,0.00,0.0,0.0
17.4,0.00,0.00,0.0,0.0
17.3,0.00,0.00,0.0,0.0
16.9,0.00,0.00,0.0,0.0
16.4,0.00,0.00,0.0,0.0
17.6,0.19,0.12,7.7,-59.7
18.6,0.22,0.35,18.8,-51.2
18.6,0.58,0.65,28.4,-40.3
19.1,0.46,0.82,35.7,-26.4
19.6,1.20,0.93,39.9,-9.7
20.9,1.81,0.79,40.1,8.4
20.5,1.81,0.71,36.2,25.3
20.4,1.69,0.58,29.0,39.4
20.8,1.44,0.40,19.5,50.5
19.4,0.83,0.18,8.5,59.2
18.5,0.01,0.01,0.0,0.0
