áYëΩó«ä‘ (836),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
21.8,0.00,0.00,0.0,0.0
21.9,0.00,0.00,0.0,0.0
21.9,0.00,0.00,0.0,0.0
21.7,0.00,0.00,0.0,0.0
21.7,0.00,0.00,0.0,0.0
21.3,0.00,0.00,0.0,0.0
20.6,0.00,0.00,0.0,0.0
19.4,0.01,0.04,6.1,-61.2
19.7,0.04,0.20,17.6,-53.3
20.8,0.28,0.57,27.8,-43.2
21.0,0.05,0.39,36.0,-30.1
20.2,0.00,0.33,41.1,-13.7
19.7,0.00,0.34,42.2,4.8
18.6,0.01,0.45,38.9,22.5
18.6,0.07,0.46,32.1,37.2
19.2,0.14,0.38,22.8,48.7
19.7,0.09,0.15,11.9,57.6
19.9,0.01,0.02,0.0,0.0
19.9,0.00,0.00,0.0,0.0
18.8,0.00,0.00,0.0,0.0
18.4,0.00,0.00,0.0,0.0
18.2,0.00,0.00,0.0,0.0
18.4,0.00,0.00,0.0,0.0
18.5,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
19.4,0.00,0.00,0.0,0.0
19.4,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.0,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
19.4,0.07,0.07,6.1,-61.3
18.9,0.07,0.23,17.6,-53.5
18.7,0.08,0.37,27.8,-43.4
19.6,0.06,0.51,36.0,-30.3
20.2,0.09,0.57,41.2,-13.8
19.8,0.06,0.61,42.3,4.6
19.3,0.06,0.55,39.1,22.4
19.6,0.05,0.45,32.2,37.2
19.5,0.07,0.30,22.9,48.7
19.6,0.07,0.15,12.0,57.6
19.7,0.01,0.02,0.1,64.6
19.8,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
19.7,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.2,0.00,0.00,0.0,0.0
20.2,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
20.4,0.08,0.07,6.0,-61.4
21.1,0.07,0.23,17.6,-53.6
21.9,0.08,0.37,27.8,-43.5
22.1,0.06,0.51,36.0,-30.4
21.8,0.08,0.58,41.2,-14.0
21.9,0.06,0.61,42.4,4.5
21.2,0.05,0.43,39.2,22.3
20.3,0.02,0.25,32.4,37.2
19.9,0.01,0.18,23.1,48.7
19.8,0.02,0.08,12.1,57.6
19.9,0.01,0.01,0.2,64.6
19.9,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.7,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.0,0.00,0.00,0.0,0.0
20.2,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.9,0.00,0.00,0.0,0.0
19.9,0.08,0.07,6.0,-61.6
19.7,0.08,0.23,17.5,-53.8
19.9,0.08,0.37,27.8,-43.7
19.6,0.03,0.39,36.1,-30.6
19.0,0.03,0.46,41.3,-14.2
19.4,0.05,0.62,42.5,4.4
19.5,0.06,0.56,39.3,22.2
19.1,0.05,0.46,32.5,37.1
19.1,0.06,0.31,23.2,48.7
19.3,0.08,0.15,12.3,57.6
19.2,0.01,0.02,0.3,64.7
19.3,0.00,0.00,0.0,0.0
18.9,0.00,0.00,0.0,0.0
18.8,0.00,0.00,0.0,0.0
18.8,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.0,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
19.7,0.00,0.00,0.0,0.0
20.0,0.00,0.00,0.0,0.0
20.3,0.00,0.00,0.0,0.0
20.7,0.00,0.00,0.0,0.0
21.6,0.00,0.00,0.0,0.0
21.8,0.00,0.00,0.0,0.0
22.1,0.32,0.11,6.0,-61.7
22.6,0.37,0.36,17.5,-53.9
23.2,0.83,0.65,27.8,-43.9
24.2,1.79,0.72,36.1,-30.8
24.5,2.56,0.58,41.4,-14.3
24.6,2.16,0.74,42.6,4.2
24.7,1.78,0.79,39.4,22.1
24.1,2.46,0.47,32.7,37.1
24.0,1.13,0.52,23.4,48.7
23.5,1.37,0.25,12.4,57.7
23.1,0.08,0.04,0.5,64.7
23.0,0.00,0.00,0.0,0.0
23.0,0.00,0.00,0.0,0.0
22.9,0.00,0.00,0.0,0.0
22.9,0.00,0.00,0.0,0.0
22.9,0.00,0.00,0.0,0.0
21.2,0.00,0.00,0.0,0.0
19.4,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
18.9,0.00,0.00,0.0,0.0
18.6,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.4,0.00,0.00,0.0,0.0
19.9,0.08,0.07,5.9,-61.9
20.5,0.08,0.23,17.5,-54.1
20.9,0.08,0.37,27.8,-44.0
21.0,0.05,0.52,36.2,-31.0
20.5,0.01,0.46,41.5,-14.5
19.0,0.02,0.32,42.7,4.1
18.4,0.02,0.30,39.6,22.1
18.7,0.00,0.26,32.8,37.1
18.8,0.00,0.18,23.5,48.7
18.8,0.02,0.09,12.6,57.7
18.3,0.01,0.01,0.6,64.8
18.9,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
19.4,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
18.1,0.00,0.00,0.0,0.0
18.8,0.00,0.00,0.0,0.0
18.9,0.00,0.00,0.0,0.0
18.6,0.00,0.00,0.0,0.0
18.9,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
19.7,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
18.8,0.07,0.07,5.9,-62.0
19.4,0.06,0.23,17.5,-54.2
19.9,0.07,0.38,27.8,-44.2
19.3,0.08,0.50,36.2,-31.2
19.6,0.08,0.59,41.6,-14.7
19.5,0.05,0.63,42.8,4.0
19.3,0.05,0.58,39.7,22.0
19.5,0.05,0.46,33.0,37.1
19.6,0.06,0.31,23.7,48.8
19.6,0.06,0.16,12.7,57.8
19.6,0.01,0.02,0.8,64.8
19.8,0.00,0.00,0.0,0.0
20.0,0.00,0.00,0.0,0.0
20.3,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
20.3,0.00,0.00,0.0,0.0
20.4,0.00,0.00,0.0,0.0
20.4,0.00,0.00,0.0,0.0
20.2,0.00,0.00,0.0,0.0
20.0,0.00,0.00,0.0,0.0
20.0,0.00,0.00,0.0,0.0
20.4,0.00,0.00,0.0,0.0
20.7,0.00,0.00,0.0,0.0
20.6,0.08,0.07,5.9,-62.2
21.5,0.08,0.24,17.5,-54.4
22.4,0.07,0.40,27.9,-44.4
22.6,0.14,0.63,36.3,-31.3
23.8,0.03,0.47,41.7,-14.9
23.5,0.04,0.51,43.0,3.9
22.9,0.02,0.30,39.9,22.0
21.4,0.08,0.50,33.1,37.1
20.8,0.14,0.39,23.8,48.8
20.4,0.07,0.16,12.9,57.8
20.2,0.04,0.03,0.9,64.9
19.6,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
19.0,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
19.5,0.00,0.00,0.0,0.0
18.9,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
18.8,0.00,0.00,0.0,0.0
19.0,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
18.6,0.00,0.00,0.0,0.0
18.5,0.00,0.00,0.0,0.0
18.7,0.08,0.07,5.9,-62.4
19.1,0.29,0.34,17.5,-54.6
19.0,0.07,0.40,27.9,-44.6
18.7,0.08,0.52,36.3,-31.5
19.1,0.06,0.62,41.8,-15.0
18.4,0.07,0.64,43.1,3.7
17.7,0.07,0.59,40.1,21.9
17.8,0.09,0.47,33.3,37.1
17.9,0.07,0.33,24.0,48.8
17.8,0.08,0.16,13.0,57.9
17.6,0.04,0.03,1.1,65.0
17.5,0.00,0.00,0.0,0.0
17.3,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.1,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.1,0.00,0.00,0.0,0.0
16.9,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
16.5,0.00,0.00,0.0,0.0
16.5,0.00,0.00,0.0,0.0
16.4,0.00,0.00,0.0,0.0
16.4,0.22,0.10,5.9,-62.5
16.5,0.29,0.34,17.5,-54.8
16.6,0.28,0.57,27.9,-44.8
17.6,1.45,0.80,36.4,-31.7
18.3,1.73,0.86,41.9,-15.2
17.8,1.12,1.02,43.3,3.6
18.0,1.76,0.81,40.2,21.9
17.4,1.10,0.78,33.5,37.1
16.8,1.84,0.45,24.2,48.9
16.7,0.30,0.25,13.2,57.9
16.5,0.08,0.04,1.2,65.1
16.4,0.00,0.00,0.0,0.0
16.6,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
16.7,0.00,0.00,0.0,0.0
16.6,0.00,0.00,0.0,0.0
16.5,0.00,0.00,0.0,0.0
16.3,0.00,0.00,0.0,0.0
16.2,0.00,0.00,0.0,0.0
15.7,0.00,0.00,0.0,0.0
16.0,0.00,0.00,0.0,0.0
16.2,0.00,0.00,0.0,0.0
16.9,0.54,0.11,5.8,-62.7
17.3,0.77,0.39,17.5,-55.0
18.3,0.86,0.65,28.0,-45.0
19.1,2.65,0.47,36.5,-31.9
19.5,2.73,0.52,42.0,-15.4
19.4,2.72,0.55,43.4,3.5
19.4,2.68,0.52,40.4,21.8
19.1,1.59,0.71,33.7,37.1
18.6,1.01,0.55,24.3,48.9
18.3,1.18,0.28,13.4,58.0
17.6,0.23,0.05,1.4,65.1
17.7,0.00,0.00,0.0,0.0
17.7,0.00,0.00,0.0,0.0
17.6,0.00,0.00,0.0,0.0
17.4,0.00,0.00,0.0,0.0
17.6,0.00,0.00,0.0,0.0
17.9,0.00,0.00,0.0,0.0
17.9,0.00,0.00,0.0,0.0
18.1,0.00,0.00,0.0,0.0
18.2,0.00,0.00,0.0,0.0
18.3,0.00,0.00,0.0,0.0
18.4,0.00,0.00,0.0,0.0
18.0,0.00,0.00,0.0,0.0
17.6,0.00,0.00,0.0,0.0
17.6,0.33,0.11,5.8,-62.9
18.5,0.28,0.34,17.5,-55.1
20.4,2.04,0.49,28.0,-45.2
21.1,2.60,0.49,36.6,-32.1
20.9,2.64,0.56,42.1,-15.5
21.8,2.64,0.58,43.6,3.4
21.6,2.62,0.54,40.6,21.8
20.4,0.78,0.81,33.8,37.1
20.2,1.61,0.49,24.5,49.0
20.1,1.04,0.29,13.5,58.1
19.6,0.15,0.04,1.5,65.2
19.1,0.00,0.00,0.0,0.0
19.5,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
19.4,0.00,0.00,0.0,0.0
19.5,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.3,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
19.2,0.00,0.00,0.0,0.0
19.0,0.00,0.00,0.0,0.0
18.8,0.00,0.00,0.0,0.0
19.1,0.00,0.00,0.0,0.0
18.9,0.09,0.07,5.8,-63.1
18.9,0.07,0.23,17.6,-55.3
19.3,0.06,0.38,28.1,-45.4
20.6,0.07,0.52,36.7,-32.3
21.0,0.06,0.61,42.3,-15.7
20.8,0.06,0.63,43.8,3.3
20.9,0.05,0.59,40.8,21.7
22.0,0.08,0.47,34.0,37.2
21.4,0.06,0.33,24.7,49.1
20.7,0.04,0.14,13.7,58.2
16.9,0.01,0.02,1.7,65.3
16.4,0.00,0.00,0.0,0.0
16.3,0.00,0.00,0.0,0.0
16.2,0.00,0.00,0.0,0.0
15.1,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
14.3,0.00,0.00,0.0,0.0
14.7,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
15.0,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
14.4,0.09,0.07,5.9,-63.3
14.7,0.07,0.23,17.6,-55.5
14.0,0.07,0.38,28.2,-45.6
14.3,0.07,0.52,36.8,-32.5
14.1,0.06,0.61,42.4,-15.9
14.0,0.05,0.63,43.9,3.2
14.5,0.08,0.57,41.0,21.7
14.5,0.07,0.47,34.2,37.2
14.6,0.07,0.33,24.9,49.1
14.8,0.08,0.17,13.9,58.3
14.9,0.04,0.03,1.8,65.5
14.8,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
14.7,0.00,0.00,0.0,0.0
14.7,0.00,0.00,0.0,0.0
15.0,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
14.5,0.00,0.00,0.0,0.0
14.7,0.00,0.00,0.0,0.0
14.2,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
14.8,0.00,0.00,0.0,0.0
14.6,0.00,0.00,0.0,0.0
14.7,0.00,0.00,0.0,0.0
14.8,0.11,0.08,5.9,-63.5
15.1,0.20,0.31,17.6,-55.7
14.9,0.11,0.45,28.2,-45.8
15.1,0.41,0.83,36.9,-32.7
16.0,0.12,0.69,42.6,-16.1
16.4,0.72,1.07,44.1,3.1
16.6,0.94,0.99,41.2,21.7
