áYîgè∆ä‘ (842),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
20.1,0.00,0.00,0.0,0.0
19.7,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.7,0.00,0.00,0.0,0.0
20.4,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.5,0.43,0.11,5.7,-61.7
21.0,0.14,0.28,17.3,-54.0
21.4,1.20,0.62,27.7,-44.1
23.2,1.76,0.72,36.1,-31.2
22.7,1.81,0.82,41.5,-14.9
22.7,1.80,0.85,42.8,3.7
23.4,1.78,0.80,39.8,21.6
22.7,1.47,0.71,33.1,36.7
22.0,1.04,0.54,23.8,48.3
22.1,0.32,0.25,12.9,57.2
21.0,0.08,0.04,0.9,64.2
21.0,0.00,0.00,0.0,0.0
20.8,0.00,0.00,0.0,0.0
21.1,0.00,0.00,0.0,0.0
21.2,0.00,0.00,0.0,0.0
21.0,0.00,0.00,0.0,0.0
21.0,0.00,0.00,0.0,0.0
21.0,0.00,0.00,0.0,0.0
21.0,0.00,0.00,0.0,0.0
20.9,0.00,0.00,0.0,0.0
20.6,0.00,0.00,0.0,0.0
20.8,0.00,0.00,0.0,0.0
20.9,0.00,0.00,0.0,0.0
21.1,0.00,0.00,0.0,0.0
21.2,0.25,0.10,5.6,-61.8
21.7,1.02,0.38,17.3,-54.2
22.7,1.71,0.55,27.7,-44.3
24.0,2.10,0.63,36.1,-31.4
24.3,2.13,0.73,41.5,-15.1
23.3,2.15,0.75,42.9,3.5
23.9,2.12,0.70,39.9,21.5
24.0,2.07,0.59,33.2,36.6
23.5,1.87,0.44,24.0,48.3
22.7,1.26,0.27,13.0,57.2
21.5,0.15,0.04,1.1,64.2
20.8,0.00,0.00,0.0,0.0
20.8,0.00,0.00,0.0,0.0
20.8,0.00,0.00,0.0,0.0
21.1,0.00,0.00,0.0,0.0
20.7,0.00,0.00,0.0,0.0
20.9,0.00,0.00,0.0,0.0
21.0,0.00,0.00,0.0,0.0
21.1,0.00,0.00,0.0,0.0
20.8,0.00,0.00,0.0,0.0
20.9,0.00,0.00,0.0,0.0
20.1,0.00,0.00,0.0,0.0
20.0,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
19.7,0.25,0.10,5.6,-61.9
21.7,0.99,0.38,17.2,-54.3
23.7,2.01,0.49,27.6,-44.5
24.7,2.13,0.62,36.1,-31.6
23.9,2.15,0.72,41.6,-15.2
24.0,2.17,0.74,43.0,3.4
24.1,2.16,0.69,40.1,21.5
23.8,2.11,0.58,33.4,36.6
23.6,1.88,0.44,24.1,48.3
22.8,1.28,0.27,13.2,57.2
21.9,0.23,0.05,1.2,64.2
21.5,0.00,0.00,0.0,0.0
20.9,0.00,0.00,0.0,0.0
21.2,0.00,0.00,0.0,0.0
21.0,0.00,0.00,0.0,0.0
20.9,0.00,0.00,0.0,0.0
20.7,0.00,0.00,0.0,0.0
20.4,0.00,0.00,0.0,0.0
20.2,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.8,0.00,0.00,0.0,0.0
19.7,0.00,0.00,0.0,0.0
19.6,0.00,0.00,0.0,0.0
18.9,0.00,0.00,0.0,0.0
19.0,0.10,0.07,5.5,-62.1
18.4,0.06,0.22,17.2,-54.5
19.0,0.09,0.40,27.6,-44.6
18.9,0.21,0.71,36.1,-31.7
18.8,0.03,0.50,41.7,-15.4
19.1,0.28,0.91,43.1,3.2
19.1,0.15,0.72,40.2,21.4
18.9,0.22,0.67,33.5,36.5
18.0,0.05,0.31,24.2,48.3
18.0,0.08,0.17,13.3,57.3
17.9,0.04,0.03,1.4,64.3
17.6,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.4,0.00,0.00,0.0,0.0
17.3,0.00,0.00,0.0,0.0
17.4,0.00,0.00,0.0,0.0
17.4,0.00,0.00,0.0,0.0
17.4,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
17.1,0.00,0.00,0.0,0.0
17.1,0.00,0.00,0.0,0.0
17.2,0.00,0.00,0.0,0.0
16.9,0.00,0.00,0.0,0.0
16.8,0.00,0.00,0.0,0.0
17.3,0.40,0.10,5.5,-62.2
17.8,1.12,0.37,17.2,-54.6
18.6,1.41,0.60,27.6,-44.8
18.6,1.81,0.71,36.2,-31.9
18.5,2.19,0.71,41.7,-15.6
19.7,2.20,0.73,43.2,3.1
19.4,2.19,0.68,40.3,21.3
19.0,2.14,0.57,33.7,36.5
18.6,1.95,0.43,24.4,48.3
18.1,1.10,0.28,13.5,57.3
17.5,0.15,0.04,1.5,64.3
17.6,0.00,0.00,0.0,0.0
17.5,0.00,0.00,0.0,0.0
17.6,0.00,0.00,0.0,0.0
17.8,0.00,0.00,0.0,0.0
17.3,0.00,0.00,0.0,0.0
17.5,0.00,0.00,0.0,0.0
17.6,0.00,0.00,0.0,0.0
17.5,0.00,0.00,0.0,0.0
17.5,0.00,0.00,0.0,0.0
17.5,0.00,0.00,0.0,0.0
